branch,交易笔数,交易笔数环比,优惠交易笔数,优惠笔数环比
null,2449,-0.9924656122420726,776,-0.9938683755145903
,20,null,2,null
上海,21019,null,10469,null
云南,6593,null,2982,null
内蒙古,2076,null,815,null
北京,11589,null,6614,null
厦门,8819,null,2439,null
吉林,3518,null,1952,null
四川,17477,null,4791,null
大连,3850,null,1748,null
天津,7179,null,3627,null
宁夏,6391,null,4943,null
宁波,4137,null,2339,null
安徽,7978,null,4410,null
山东,9298,null,4605,null
山西,4218,null,1468,null
广东,24213,null,10851,null
广西,7158,null,1944,null
新疆,2792,null,834,null
江苏,15573,null,7352,null
江西,4588,null,2206,null
河北,13605,null,9514,null
河南,12279,null,6590,null
浙江,21647,null,10829,null
海南,1648,null,485,null
深圳,10988,null,4281,null
湖北,20307,null,6274,null
湖南,9685,null,3271,null
甘肃,1672,null,677,null
福建,12318,null,5450,null
西藏,116,null,24,null
贵州,5826,null,2096,null
辽宁,11198,null,3521,null
重庆,18986,null,4801,null
陕西,7112,null,2944,null
青岛,3444,null,1933,null
青海,1181,null,485,null
黑龙江,6874,null,3176,null
