branch,cnt_today,cnt_yesterday,ratio,dis_cnt_today,cnt_yesterday,dis_ratio
福建,525767,493513,0.06535592780737276,403794,378701,0.06626071755817908
四川,516738,445167,0.16077337268935032,276259,263784,0.04729248172747402
辽宁,466498,480371,-0.028879761684198257,317265,334088,-0.05035499628840301
贵州,434490,382430,0.13612948774939215,306183,293203,0.04426966981920377
山东,395724,406189,-0.025763868543953627,276812,289593,-0.044134354076238
天津,359453,306429,0.17303845262687267,297434,251369,0.18325648747458922
上海,337883,321312,0.051572926003386144,233108,221273,0.0534859653007822
江苏,307273,276702,0.11048348042298217,251398,226081,0.11198198875624232
河南,296004,268658,0.10178740257129881,194578,177481,0.09633143829480328
浙江,283722,246614,0.15046996520878775,196297,172511,0.13788106265687405
安徽,275227,259332,0.061292088905341435,216452,199831,0.08317528311423161
吉林,248882,252679,-0.015026970978989196,203447,200379,0.015310985682132294
湖北,218619,214346,0.01993505827027331,68966,73092,-0.05644940622776773
河北,209259,199354,0.04968548411368712,160161,154975,0.033463461848685316
湖南,167148,155032,0.07815160741008298,93330,86381,0.08044593139695078
重庆,167047,165457,0.009609747547701275,31321,30594,0.023762829312937273
山西,155648,156054,-0.002601663526727971,129939,130655,-0.005480081129692671
甘肃,152170,127348,0.19491472186449732,123573,107246,0.15223877813624753
新疆,151823,141499,0.07296164637205926,33541,34616,-0.031055003466605058
广东,146077,169704,-0.13922476783104698,66116,78076,-0.15318407705312775
宁夏,139103,126424,0.10028950199329234,123118,109215,0.12729936364052552
宁波,134743,118311,0.1388881845306016,120413,105714,0.13904497039181196
青岛,133871,154510,-0.13357711474985434,113550,131533,-0.13671854211490653
陕西,122904,106209,0.15719006863825102,37080,36682,0.010850008178398207
厦门,114072,103744,0.0995527452190006,38779,32669,0.1870274572224433
大连,113046,115076,-0.017640515833014736,86698,90716,-0.044292076370210376
广西,96914,87551,0.10694338157188388,59315,53182,0.11532097326162982
深圳,91896,111614,-0.17666242586055514,44740,60068,-0.25517746553905574
江西,88524,109909,-0.1945700534078192,69197,90055,-0.2316140136583199
内蒙古,82992,77510,0.0707263578893047,19541,19237,0.015802879866923192
null,70100,70538,-0.006209419036547703,26688,28706,-0.07029889221765484
云南,68533,71950,-0.047491313412091785,8532,10588,-0.19418209293539856
黑龙江,67409,69021,-0.023355210732965315,30182,31753,-0.049475640096998674
北京,63492,64650,-0.017911832946635786,39562,43271,-0.08571560629520925
海南,50563,42049,0.2024780613094248,15456,15537,-0.0052133616528287074
青海,40560,35789,0.13330911732655282,18260,15516,0.17684970353183815
西藏,4842,4419,0.09572301425661922,22,26,-0.15384615384615385
