分公司,商户类型,商户号,商户名称,交易笔数,交易金额,优惠交易笔数,用户数
总公司,信用卡还款,001980099990002,银联转账（云闪付）,448384,1305862105.51,104963,340346
总公司,转账或信用卡还款,001980099990002,银联转账（云闪付）,448384,1305862105.51,104963,340346
总公司,信用卡还款,307980094985840,平安信用卡中心还款业务(深圳),71188,402190189.61,12985,63426
总公司,信用卡还款,303980094985841,光大卡中心信用卡还款（深圳线上）,66984,367542531.47,11745,57879
总公司,信用卡还款,302980094985840,中信银行信用卡还款(深圳),63916,341047734.92,11113,59137
总公司,信用卡还款,310980094985842,浦发银行信用卡还款,47891,246937763.53,9281,42462
深圳,信用卡还款,886584060129993,招行信用卡还款,43944,344372648.82,7523,40842
总公司,信用卡还款,306980094985840,广发信用卡还款(深圳),43101,371606389.8,7018,38459
总公司,信用卡还款,304980094985840,华夏银行信用卡中心,40270,208487987.76,8143,36043
深圳,信用卡还款,886584060129963,民生银行,38095,240455636.72,6445,34321
北京,外部商户,104100554111444,京东商城平台商户,34793,9818421.35,10626,28967
总公司,信用卡还款,309980094985840,兴业银行信用卡还款,33341,256623589.31,5058,30677
总公司,公共缴费,303440149000003,光大股份有限公司,25898,387133.29,22433,23641
上海,外部商户,802080290000015,中国铁路网络有限公司,24945,4894367.53,10881,21217
天津,外部商户,802120041110500,云闪付乘车码,21052,43801.01,5602,17531
总公司,充值,802301048140001,欧飞(移动),13060,899328.39,6127,12135
上海,外部商户,898310172110109,U净,13007,18799.47,12010,12069
青岛,外部商户,898053289990086,浙江集享电子商务有限公司,12700,1130852.53,12460,9566
上海,外部商户,937310053110017,唯品会,11231,3150466.01,2972,9792
浙江,外部商户,822331041310017,杭州市公共交通集团（电子客票）,9912,25982.64,3812,9771
总公司,信用卡还款,413980094980001,广州互联网还款,9425,64246310.26,1252,8299
北京,外部商户,898111953111590,京东到家,8685,731017.7,8304,6841
上海,外部商户,301310047220005,携程旅行网,7937,7935258.14,1760,6141
厦门,外部商户,898352241110101,(特约)厦门轨道交通集团有限公司,7481,21332.54,652,4915
总公司,充值,103330148140003,浙江开心果网络科技有限公司（移动）,6422,456411.44,3181,6006
贵州,公共缴费,443701092220174,（特约）贵州交罚,5576,453944.3,473,2328
厦门,外部商户,898352273991738,依然洁（自助洗衣）（云闪付）,4977,7257.14,4971,4972
总公司,信用卡还款,401980094985840,上海银行信用卡中心还款业务(深圳),4719,19221291.88,1026,4286
江苏,外部商户,949300053110002,悦趣科技,4208,322069.93,334,1626
河北,外部商户,898130675120169,欧拉信息服务有限公司,3655,33228.43,3028,3074
北京,外部商户,898111953990224,多点,3639,175862.71,2811,3336
福建,公共缴费,008350183980012,福建省电信有限公司,3568,13085.75,3035,3336
宁夏,外部商户,898640153991433,多点新鲜（北京）电子商务有限公司,3271,243891.5,3045,2862
福建,公共缴费,008350757220003,福建移动通信有限责任公司南平分公司,3188,932.25,3124,2991
广东,外部商户,607441075120202,深圳万顺叫车云信息技术有限公司,3161,1727485.03,144,481
福建,公共缴费,008350457220003,福建省移动通信有限责任公司三明分公司,3147,1249.03,3040,2932
总公司,信用卡还款,586410194980002,中原银行股份有限公司信用卡还款,2996,10207164.51,538,2730
山东,公共缴费,898053649000010,国网山东省电力公司,2894,207063.8,2451,2624
总公司,信用卡还款,321000194980002,汇丰银行互联网还款,2852,14575711.52,421,2543
浙江,外部商户,906330153110032,网易严选,2781,727006.72,2735,2490
辽宁,公共缴费,826221049004053,国网辽宁省电力有限公司沈阳供电公司,2667,24310.97,2483,2499
总公司,信用卡还款,316000194983000,浙商银行互联网还款,2624,14442132.39,584,2330
河南,公共缴费,898410149000103,河南电力缴费,2591,306677.92,2114,1905
湖北,外部商户,105521000004361,湖北省公安交通管理局,2488,319591.26,336,1421
总公司,充值,802301048140002,欧飞(电信),2477,189383.14,1137,2330
北京,外部商户,898110254993961,美菜网(食品销售)(云闪付),2222,459656.22,2203,1663
黑龙江,外部商户,102230192220001,(特约)黑龙江省交警总队,2215,219983.55,331,1245
江苏,外部商户,898320554992444,食行生鲜（综合零售）（云闪付）,2187,83767.98,815,1577
北京,外部商户,104100554111443,京东商城平台商户,2180,169008.04,0,1245
河南,外部商户,802410042150500,（特约）UU跑腿同城配送,2160,48498.28,2139,1720
总公司,充值,802301048140003,欧飞(联通),2131,137299.7,1069,2019
北京,外部商户,817100058141129,（特约）美团点评,2039,85578.98,440,1932
四川,外部商户,103510148991003,成都天府通金融服务股份有限公司,2006,42689.06,432,1957
大连,外部商户,898210275120200,曹操出行（实时）,1940,34506.08,394,1595
北京,外部商户,898111953990221,多点,1815,126805.28,1730,1613
总公司,信用卡还款,490130794981001,张家口银行信用卡还款,1811,6920432.9,305,1608
总公司,信用卡还款,442980094989800,哈尔滨银行信用卡中心(),1808,8768024.59,300,1596
陕西,外部商户,103790049000002,陕西省财政厅,1781,205016.03,182,952
上海,外部商户,802310053113338,学志（深圳）教育科技有限公司,1766,3629.57,1766,1766
总公司,信用卡还款,320980094985840,东亚银行信用卡中心,1752,8052566.47,281,1581
总公司,信用卡还款,450452094980651,青岛银行信用卡还款,1728,6973045.75,288,1603
辽宁,外部商户,898210141120019,辽宁新天地铁科技有限公司,1663,40826.03,333,1642
安徽,公共缴费,898340849000159,安庆港华燃气,1601,3530.19,1582,1500
总公司,信用卡还款,508300094980001,江苏银行互联还款,1579,7239619.39,620,1479
总公司,信用卡还款,443701094980087,贵阳银行信用卡还款,1546,4173647.98,233,1412
湖南,外部商户,918551048140005,中国移动,1481,86399.32,624,1382
天津,服务类,827100072110001,海尔洗衣（洗熨）（云闪付）,1439,4062.91,1166,1210
辽宁,外部商户,898210192220009,（特约）沈阳市公安局交通警察支队,1433,187478.82,155,680
总公司,信用卡还款,440980094983600,徽商银行信用卡中心,1431,4420725.19,442,1318
总公司,信用卡还款,417980094982210,盛京银行信用卡中心,1403,4087242.92,329,1274
总公司,充值,103330148160003,浙江开心果网络科技有限公司（电信）,1376,114134.65,660,1284
浙江,外部商户,906330148160038,梦幻西游藏宝阁,1367,611759.7,101,875
四川,外部商户,896650053110091,河南泓之祥网络科技有限公司,1364,149116.98,23,688
总公司,信用卡还款,449161094980002,晋商银行信用卡还款,1347,4614286.32,289,1199
大连,外部商户,898210292220114,大连市公安局交通警察支队,1341,174441.87,198,701
北京,外部商户,898111953990231,多点,1327,77112.85,1162,1123
内蒙古,公共缴费,898150249000007,（特约）内蒙古电力包头供电局,1315,6574,1247,1183
总公司,信用卡还款,429330194980001,浙江农信互联还款,1315,3305772.66,431,1204
总公司,信用卡还款,479980094985840,包商银行信用卡中心,1311,6304462.79,233,1171
湖南,公共缴费,898430349000097,国网湖南省电力有限公司湘潭供电分公司,1303,71767.37,1125,1182
福建,公共缴费,008350157220003,中国移动通信集团福建有限公司福州分公司,1298,2503.7,761,1220
四川,服务类,898510192220016,四川银联交警认缴后端商户,1287,171009.32,110,560
总公司,信用卡还款,448421094989999,江西银行信用卡还款,1267,5620425.93,312,1151
广东,外部商户,896580053110296,武汉澳淄茂科技有限公司,1252,120764.07,24,504
黑龙江,外部商户,896260053110533,西安妙联怡商贸有限公司,1250,107537.13,28,458
广东,外部商户,896580053110292,陕西鹏泰美商贸有限公司,1188,132216.11,25,528
新疆,外部商户,898650193990152,新疆财政非税缴费,1183,198626.84,117,779
黑龙江,外部商户,896260053110531,西安拢茗科商贸有限公司,1176,99426.63,32,457
黑龙江,外部商户,896260053110526,陕西大宇芊信息科技有限公司,1173,114387.29,18,496
总公司,信用卡还款,435491094980002,郑州银行信用卡还款,1154,4182872.7,204,1026
黑龙江,外部商户,896260053110458,武汉绿熙科技有限公司,1136,126767.82,27,536
上海,外部商户,898319853111173,i百联（百货）（云闪付）,1117,93133.57,1076,811
大连,外部商户,802210253110511,蜗牛睡眠,1091,291.83,1091,1091
总公司,外部商户,104044653111061,EMEDIA,1061,214456.31,0,895
深圳,外部商户,898440355410714,深圳易加油信息科技有限公司,1059,222248.29,1009,1042
黑龙江,外部商户,896260053110532,西安罗洋商贸有限公司,1055,96840.15,19,346
四川,外部商户,898510192220011,四川省交通罚没,1042,117262,13,124
总公司,信用卡还款,319980094989801,花旗还款互联网,1004,7884000.71,186,890
