分公司,商户类型,商户号,商户名称,交易笔数,交易金额,优惠交易笔数,用户数
总公司,转账或信用卡还款,001980099990002,银联转账（云闪付）,443638,1251135065.29,101202,335966
总公司,信用卡还款,001980099990002,银联转账（云闪付）,443638,1251135065.29,101202,335966
总公司,信用卡还款,307980094985840,平安信用卡中心还款业务(深圳),85872,521149553.38,15363,76220
总公司,信用卡还款,303980094985841,光大卡中心信用卡还款（深圳线上）,82964,481676500.61,14670,71759
总公司,信用卡还款,302980094985840,中信银行信用卡还款(深圳),79030,450042268.74,14335,73050
总公司,信用卡还款,310980094985842,浦发银行信用卡还款,54265,289028875.53,10354,48358
深圳,信用卡还款,886584060129993,招行信用卡还款,53430,441342185.74,9261,49448
深圳,信用卡还款,886584060129963,民生银行,43072,272662058.75,6990,39007
总公司,信用卡还款,306980094985840,广发信用卡还款(深圳),40440,340730483.85,6325,36592
总公司,信用卡还款,309980094985840,兴业银行信用卡还款,39351,308615118.04,5912,36170
总公司,信用卡还款,304980094985840,华夏银行信用卡中心,29380,150388706.74,5061,26490
北京,外部商户,104100554111444,京东商城平台商户,24706,6650236.13,6924,21001
上海,外部商户,898310172110109,U净,23191,19894.52,22586,16392
总公司,公共缴费,303440149000003,光大股份有限公司,22336,419608,19068,20714
上海,外部商户,802080290000015,中国铁路网络有限公司,20910,4212300.02,9125,17886
天津,外部商户,802120041110500,云闪付乘车码,19220,39707.52,5229,16066
总公司,充值,802301048140001,欧飞(移动),12079,826579.1,5655,11271
浙江,外部商户,822331041310017,杭州市公共交通集团（电子客票）,9282,24906.6,3422,9123
上海,外部商户,937310053110017,唯品会,8924,2477187.21,2408,7767
北京,外部商户,898111953111590,京东到家,8208,702106.24,7768,6317
总公司,信用卡还款,413980094980001,广州互联网还款,7942,52520138.63,979,7183
上海,外部商户,301310047220005,携程旅行网,7723,7502601.91,1713,5939
厦门,外部商户,898352241110101,(特约)厦门轨道交通集团有限公司,6566,19056.95,569,4313
总公司,充值,103330148140003,浙江开心果网络科技有限公司（移动）,5813,415238.9,2945,5473
江苏,外部商户,949300053110002,悦趣科技,5655,436087.45,366,2160
总公司,信用卡还款,401980094985840,上海银行信用卡中心还款业务(深圳),4248,17054434.55,862,3878
青岛,外部商户,898053289990086,浙江集享电子商务有限公司,4146,408551.94,3437,2859
贵州,公共缴费,443701092220174,（特约）贵州交罚,4032,307040.6,290,1673
宁夏,外部商户,898640153991433,多点新鲜（北京）电子商务有限公司,3931,309395.56,3679,3397
总公司,信用卡还款,508300094980001,江苏银行互联还款,3501,16908690.15,1443,3127
北京,外部商户,898111953990224,多点,3282,189075.68,2829,2966
福建,公共缴费,008350183980012,福建省电信有限公司,3107,16602.6,2628,2878
广东,外部商户,607441075120202,深圳万顺叫车云信息技术有限公司,3033,1508946.9,126,508
河北,外部商户,898130675120169,欧拉信息服务有限公司,3007,27756.87,2519,2555
厦门,外部商户,898352273991738,依然洁（自助洗衣）（云闪付）,2865,4200.65,2861,2766
总公司,信用卡还款,586410194980002,中原银行股份有限公司信用卡还款,2778,9579178.07,428,2537
福建,公共缴费,008350757220003,福建移动通信有限责任公司南平分公司,2773,652.78,2681,2597
福建,公共缴费,008350457220003,福建省移动通信有限责任公司三明分公司,2630,1117.57,2532,2486
山东,公共缴费,898053649000010,国网山东省电力公司,2577,115228.8,2288,2406
北京,外部商户,104100554111443,京东商城平台商户,2565,203015.51,0,1103
总公司,信用卡还款,321000194980002,汇丰银行互联网还款,2508,14160537.68,402,2276
河南,公共缴费,898410149000103,河南电力缴费,2376,291884.32,1911,1771
辽宁,公共缴费,826221049004053,国网辽宁省电力有限公司沈阳供电公司,2375,40592.5,2177,2233
总公司,充值,802301048140002,欧飞(电信),2327,184418.09,1026,2195
总公司,信用卡还款,448421094989999,江西银行信用卡还款,2311,11786660,599,2006
江苏,外部商户,898320554992444,食行生鲜（综合零售）（云闪付）,2308,81466.78,927,1648
总公司,信用卡还款,461980094980001,长沙银行互联还款,2210,7251513.46,464,1947
总公司,信用卡还款,316000194983000,浙商银行互联网还款,2124,11391317.84,346,1857
