pro,交易笔数,交易笔数环比,优惠交易笔数,优惠笔数环比
上海,81601,-0.09165263930251633,73279,-0.05958522625189289
北京,50331,-0.12094177268648054,27680,-0.11976085988679008
黑龙江,25532,-0.011185854314818333,668,-0.0972972972972973
青岛,17385,0.2024001548487,17925,0.20060281312793027
广东,12717,-0.12497416465725109,395,-0.202020202020202
四川,10748,-0.01978061499730266,251,-0.27456647398843925
厦门,9072,0.08543434102043257,2052,-0.1260647359454855
浙江,6910,-0.16980894922071388,2466,-0.3286142118159543
云南,3760,-0.1294334408106863,99,-0.06603773584905659
湖南,3399,0.15809072444143535,686,-0.072972972972973
江苏,3074,-0.2613307618129219,893,-0.27692307692307694
天津,2380,0.10398445092322639,438,0.21666666666666656
其他,2234,-0.02416666666666667,247,0.11764705882352944
大连,1977,-0.18592132505175984,1516,-0.10718492343934038
宁夏,1703,-0.2417582417582418,1621,-0.26150341685649203
深圳,1677,-0.10642895732036739,596,-0.11044776119402988
宁波,1256,-0.05475285171102662,1094,-0.039508340649692664
陕西,1152,0.1407907425265189,96,-0.11111111111111116
河北,909,0.0871670702179177,495,-0.08333333333333337
辽宁,841,-0.17941176470588238,144,-0.23404255319148937
河南,830,0.14381720430107525,380,0.13772455089820368
山东,748,1.3782051282051282,503,2.618705035971223
湖北,672,0.012441679626749691,148,0.510204081632653
福建,422,-0.40665701881331406,81,-0.3671875
安徽,250,-0.03076923076923077,156,-0.018867924528301883
江西,228,0.040723981900452566,29,-0.17142857142857137
重庆,180,0.03389830508474567,49,-0.10909090909090913
新疆,157,-0.3374485596707819,25,-0.16666666666666663
甘肃,83,-0.15841584158415845,17,-0.37037037037037035
海南,72,0.07462686567164178,49,0.0
贵州,67,0.13559322033898313,21,0.23529411764705888
广西,35,1.0,7,2.5
内蒙古,30,-0.1428571428571429,5,-0.2857142857142857
山西,13,-0.1333333333333333,2,-0.33333333333333337
西藏,9,-0.55,1,-0.75
