branch,交易笔数,交易笔数环比,优惠交易笔数,优惠笔数环比
null,13941,-0.0016800584368151794,10211,0.038758901322482275
深圳,9078,0.06810120595885549,5469,-0.00527464532557298
宁夏,2484,-0.17252711140322052,1747,-0.2647306397306397
,12,0.09090909090909083,5,-0.2857142857142857
新疆,1408,-0.06740837696335078,740,-0.05128205128205132
山西,3017,-0.023749208359721385,664,-0.17821782178217827
湖北,13361,-0.007727073917480731,2998,-0.1053416890480453
广东,24101,-0.07258312807881773,15112,-0.08622566211150073
浙江,7071,-0.15907207953603975,4205,-0.1407846342460155
厦门,3196,-0.03166397415185784,1344,-0.016825164594001518
陕西,3613,-0.004649890590809669,1364,-0.03875968992248058
江西,2746,0.004715270221254952,1244,0.018837018837018826
西藏,61,-0.06451612903225812,13,0.0
黑龙江,3951,-0.06734084118593431,1786,-0.001676914477361624
重庆,17104,-0.04073638856247552,3541,-0.06791260858120562
安徽,2960,-0.19564061669324828,1677,-0.217452169855343
海南,1082,0.04588910133843216,414,0.002421307506053294
青岛,1822,-0.03427959292983396,1018,-0.08944543828264762
北京,7752,-0.04138618798304661,5126,-0.05494100294985249
内蒙古,2385,-0.04075867635189667,1816,-0.018908698001080526
河北,14992,0.022985451405035606,13025,0.008751548946716259
湖南,9146,-0.009702166064981976,3830,-0.09220194358852807
上海,13187,-0.05073966542236974,7684,-0.10097110097110096
河南,12105,-0.03767423337315812,9013,-0.10318407960199005
甘肃,981,-0.07529843893480259,478,-0.11970534069981587
云南,13527,-0.00715512306811672,10659,0.02039058012636419
广西,5256,-0.0018518518518518823,1141,-0.08279742765273312
江苏,8838,-0.09123649459783911,4852,-0.1846748445639388
贵州,2986,0.017628759073625933,1371,-0.04192872117400415
辽宁,5423,-0.10777027027027031,1865,-0.06563126252505014
宁波,2963,0.0487135506003431,2346,0.07911683532658698
山东,4522,-0.09943752511048609,2088,-0.22638014079288626
吉林,1726,-0.18243243243243246,1029,-0.25971223021582734
大连,2735,-0.017229496898690577,1296,-0.041420118343195256
四川,11950,-0.05643194015287034,3471,0.030888030888030826
青海,570,-0.03436426116838487,246,-0.18811881188118806
福建,7259,0.025708984892658382,3417,-0.009852216748768461
天津,3143,-0.09560117302052784,1875,-0.11514865502595562
