branch,交易笔数,交易金额,交易用户数,优惠交易笔数,优惠金额
null,2449,459996.33,1763,776,518110
,20,884.75,14,2,187
上海,21019,7196879.94,16899,10469,9752601
云南,6593,915063.78,4365,2982,789182
内蒙古,2076,479235.61,1631,815,1103827
北京,11589,3200607.3,9512,6614,4539185
厦门,8819,1395111.31,6411,2439,1936322
吉林,3518,619385.6,2815,1952,1662349
四川,17477,3485103.13,11846,4791,4689479
大连,3850,1147145.58,3093,1748,2440970
天津,7179,1165347.48,5922,3627,2414986
宁夏,6391,697950.32,5362,4943,1919729
宁波,4137,895039.67,3169,2339,1828102
安徽,7978,1661035.45,6452,4410,6840272
山东,9298,2596954.3,7048,4605,7369464
山西,4218,1275469.39,2738,1468,2394895
广东,24213,5781230.82,16903,10851,10058632
广西,7158,1459878.95,4277,1944,1981597
新疆,2792,857910.62,2084,834,524047
江苏,15573,4348742.24,12060,7352,11347465
江西,4588,1092081.97,3194,2206,3090446
河北,13605,1695663.19,11016,9514,5623228
河南,12279,2613274.15,9299,6590,5345288
浙江,21647,3971065.68,18173,10829,10751507
海南,1648,358924.53,1138,485,534642
深圳,10988,3636568,6341,4281,3516573
湖北,20307,3470285.74,11088,6274,3345947
湖南,9685,1687833.54,6236,3271,2410258
甘肃,1672,497899.02,1348,677,783324
福建,12318,3412997.04,9036,5450,6789470
西藏,116,37161.89,81,24,12817
贵州,5826,972807.3,4336,2096,1052927
辽宁,11198,2173654.85,7888,3521,3580750
重庆,18986,2625380.31,9528,4801,2803655
陕西,7112,1406024.86,5162,2944,2387315
青岛,3444,743338.76,2618,1933,2178631
青海,1181,148592.71,921,485,184178
黑龙江,6874,1448040.35,5003,3176,3545958
