mchnt_nm,mchnt_type,cnt_today,ratio_by_yesterday,user_today,dis_cnt_today
U净,外部商户,32417,0.40267107378953004,16986,30994
京东商城平台商户,外部商户,27113,0.011987073500676404,20465,6613
中国铁路网络有限公司,外部商户,19458,-0.0038246691157969304,17978,8497
云闪付乘车码,外部商户,18346,-0.07431498079385401,14771,4945
杭州市公共交通集团（电子客票）,外部商户,10063,0.1632918245804007,10282,3612
多点,外部商户,9513,-0.026776301918616907,8319,8364
京东到家,外部商户,7970,-3.6594291290559244E-4,6740,7761
携程旅行网,外部商户,7018,-0.1121951219512195,5677,1546
唯品会,外部商户,6913,-0.25796694393431996,6516,1953
(特约)厦门轨道交通集团有限公司,外部商户,6242,-0.0830958452077396,3817,535
