mchnt_nm,mchnt_type,cnt_today,ratio_by_yesterday,user_today,dis_cnt_today
U净,外部商户,46598,-0.03800874537504206,27473,45760
京东商城平台商户,外部商户,25424,0.02386083743842371,20133,5732
浙江集享电子商务有限公司,外部商户,16735,0.2175037430243636,12128,17417
上海甄会选电子商务有限公司,外部商户,12985,-0.018414322250639437,6252,13202
京东到家,外部商户,11184,0.030438756855575955,10050,11234
多点,外部商户,7063,-0.08245216515609266,6139,6888
唯品会,外部商户,4669,0.07023108291798819,4142,1288
中国铁路网络有限公司,外部商户,4463,-0.2297729184188394,3764,1937
深圳万顺叫车云信息技术有限公司,外部商户,2506,0.044676409185803845,255,42
美菜网(食品销售)(云闪付),外部商户,2379,0.0582441113490364,2037,2448
