pro,交易笔数,交易笔数环比,优惠交易笔数,优惠笔数环比
上海,87494,0.10808004052684894,49998,0.31218014329580357
云南,3031,0.10539752005835168,104,0.20930232558139528
其他,3156,-0.21803766105054512,474,-0.07240704500978479
内蒙古,38,-0.07317073170731703,6,-0.625
北京,67038,0.027307833762412637,37667,0.18654906284454253
厦门,14673,-0.11571144458506599,4551,-0.27864954826438426
吉林,5,-0.736842105263158,1,-0.75
四川,9519,-0.09126491646778045,1087,0.03228869895536568
大连,6408,-0.05653710247349819,2974,0.03986013986013992
天津,18165,-0.1566460838479038,5010,-0.12305268685454229
宁夏,5205,0.5811057108140947,4974,0.6302851524090463
宁波,250,0.08695652173913038,72,0.7560975609756098
安徽,1424,0.3600764087870105,960,0.675392670157068
山东,762,-0.09822485207100595,469,-0.09459459459459463
山西,47,-0.6967741935483871,19,-0.20833333333333337
广东,18303,0.08014163470050173,1325,-0.014869888475836479
广西,214,-0.18320610687022898,42,-0.33333333333333337
新疆,809,-0.3496784565916399,121,-0.13571428571428568
江苏,12135,0.2318546340473049,2750,0.2696214219759927
江西,287,-0.26972010178117045,62,-0.20512820512820518
河北,3862,-0.1817796610169492,2793,-0.15260922330097082
河南,2324,-0.29275715155203896,1753,-0.20964833183047793
浙江,17520,-0.06430249946592603,7053,-0.0338356164383562
海南,175,-0.27083333333333337,72,-0.48571428571428577
深圳,3559,-0.10171630489651695,1825,-0.10187007874015752
湖北,2189,-0.3510228283427216,351,-0.31976744186046513
湖南,2248,-0.12015655577299411,710,-0.08505154639175261
甘肃,95,-0.5887445887445888,25,-0.3902439024390244
福建,736,-0.02774108322324964,151,-0.01948051948051943
西藏,2,null,1,null
贵州,152,-0.33333333333333337,32,-0.19999999999999996
辽宁,4350,-0.2685387590381705,690,-0.21679909194097613
重庆,857,-0.2712585034013606,203,-0.15416666666666667
陕西,1873,-0.2625984251968504,212,-0.6629570747217806
青岛,15575,0.07979755962285084,14173,0.08505588730669111
黑龙江,25341,0.14339214005324186,808,-0.03001200480192079
