mchnt_nm,mchnt_type,cnt_today,ratio_by_yesterday,user_today,dis_cnt_today
银联转账（云闪付）,信用卡还款,502053,0.15773052767769702,366685,113663
银联转账（云闪付）,转账或信用卡还款,502053,0.15773052767769702,366685,113663
光大卡中心信用卡还款（深圳线上）,信用卡还款,103947,0.2722192131567285,90983,19326
中信银行信用卡还款(深圳),信用卡还款,102653,0.30689811246895915,92914,19165
平安信用卡中心还款业务(深圳),信用卡还款,101751,0.18772633065342648,89352,17791
招行信用卡还款,信用卡还款,73795,0.4017894777177453,67159,12755
浦发银行信用卡还款,信用卡还款,66548,0.20872767516409718,60365,13284
民生银行,信用卡还款,59844,0.3131994037687156,51646,9948
广发信用卡还款(深圳),信用卡还款,48130,0.17134741262195874,42114,8023
兴业银行信用卡还款,信用卡还款,48094,0.2705180866569499,42881,7099
U净,外部商户,32417,0.40267107378953004,16986,30994
