mchnt_nm,mchnt_type,cnt_today,ratio_by_yesterday,user_today,dis_cnt_today
银联转账（云闪付）,信用卡还款,422280,-0.011586571625661124,323229,90103
银联转账（云闪付）,转账或信用卡还款,422280,-0.011586571625661124,323229,90103
浦发银行信用卡还款,信用卡还款,82719,0.1782266638315968,72054,15352
平安信用卡中心还款业务(深圳),信用卡还款,67871,-0.2755732295456469,61699,11043
光大卡中心信用卡还款（深圳线上）,信用卡还款,57694,-0.1157174635097663,49159,8869
民生银行,信用卡还款,54440,0.07802140746065978,47776,8769
招行信用卡还款,信用卡还款,46971,0.12229642647920325,42765,7866
U净,外部商户,46598,-0.03800874537504206,27473,45760
广发信用卡还款(深圳),信用卡还款,44303,0.09960281810014648,37196,6882
兴业银行信用卡还款,信用卡还款,42169,0.006232956758862596,39315,5503
中信银行信用卡还款(深圳),信用卡还款,33689,-0.3167190602250165,31354,4876
