tmj_daily_trans_report_2.cnt,tmj_daily_trans_report_2.index,tmj_daily_trans_report_2.part_dt
410180,all_mchnt_cnt,2020-01-18
404055,qr_code_mchnt_cnt,2020-01-18
106,new_mchnt_cnt,2020-01-18
6988144,qr_code_cnt,2020-01-18
411636,all_mchnt_cnt,2020-01-17
269654,all_mchnt_cnt,2019-01-18
229,new_mchnt_cnt,2020-01-17
440,new_mchnt_cnt,2019-01-18
405361,qr_code_mchnt_cnt,2020-01-17
7303932,qr_code_cnt,2020-01-17
5209940,qr_code_cnt,2019-01-18
1319230,control_cnt,2020-01-18
1405272,control_cnt,2020-01-17
1617246,control_cnt,2019-01-18
4829,control_mchnt,2020-01-18
5028,control_mchnt,2020-01-17
329821,control_out_cnt,2020-01-18
325043,control_out_cnt,2020-01-17
1106881,control_out_cnt,2019-01-18
3931,control_out_mchnt,2020-01-18
4043,control_out_mchnt,2020-01-17
