branch,cnt_today,cnt_yesterday,ratio,dis_cnt_today,cnt_yesterday,dis_ratio
福建,493513,566483,-0.12881233858738916,378701,429993,-0.11928566278985941
辽宁,480371,477661,0.005673479727254183,334088,383212,-0.1281901401835016
四川,445167,554073,-0.19655532754709215,263784,281372,-0.06250799653128247
山东,406189,406350,-3.962101636519888E-4,289593,288216,0.004777666749937515
贵州,382430,456892,-0.1629750575628376,293203,336360,-0.12830598168628848
上海,321312,359472,-0.10615569501936173,221273,256029,-0.1357502470423272
天津,306429,399119,-0.23223650089321735,251369,333091,-0.24534436535361204
江苏,276702,332686,-0.16827879742459861,226081,275522,-0.1794448356211119
河南,268658,335777,-0.19989159471911422,177481,217137,-0.18263124202692305
安徽,259332,294477,-0.11934718161350466,199831,230448,-0.13285860584600429
吉林,252679,270155,-0.06468878976883641,200379,213367,-0.06087164369372955
浙江,246614,317807,-0.2240133162579805,172511,221024,-0.21949200086868392
湖北,214346,227274,-0.05688288145586384,73092,73119,-3.692610675747332E-4
河北,199354,238564,-0.16435841116010796,154975,183521,-0.15554623176639182
广东,169704,145370,0.1673935474994841,78076,67661,0.15392914677583835
重庆,165457,196868,-0.15955360952516406,30594,97377,-0.685819033241936
山西,156054,175096,-0.10875177045734907,130655,151711,-0.1387901997877543
湖南,155032,245772,-0.36920397767036117,86381,124091,-0.30388988726015587
青岛,154510,142178,0.08673634458214341,131533,122484,0.07387903726200973
新疆,141499,166598,-0.15065607030096395,34616,33629,0.0293496684409289
甘肃,127348,160064,-0.2043932427029188,107246,127349,-0.15785754108787664
宁夏,126424,140501,-0.10019145771204474,109215,125622,-0.13060610402636486
宁波,118311,148826,-0.20503809818176932,105714,133911,-0.21056522615767193
大连,115076,150297,-0.234342668183663,90716,119409,-0.24029177030207105
深圳,111614,96726,0.15391931848727336,60068,47213,0.27227670345032084
江西,109909,95121,0.15546514439503367,90055,75274,0.19636262188803566
陕西,106209,139903,-0.2408382951044652,36682,42228,-0.13133465946765177
厦门,103744,98501,0.053227886011309566,32669,33197,-0.015905051661294745
广西,87551,107410,-0.18488967507680854,53182,65231,-0.1847127899311677
内蒙古,77510,89879,-0.13761835356423635,19237,21152,-0.09053517397881994
云南,71950,75373,-0.04541414034203228,10588,11456,-0.07576815642458101
null,70538,78915,-0.106152189064183,28706,29873,-0.03906537676162425
黑龙江,69021,73622,-0.0624949064138437,31753,31513,0.007615904547329633
北京,64650,67511,-0.0423782790952586,43271,42781,0.01145368270961411
海南,42049,46795,-0.10142109199700822,15537,12316,0.2615297174407276
青海,35789,43887,-0.18451933374347762,15516,18984,-0.18268015170670038
西藏,4419,5369,-0.17694170236543116,26,28,-0.0714285714285714
