branch,cnt_today,cnt_yesterday,ratio,dis_cnt_today,dis_cnt_yesterday,dis_ratio
山东,149411,145015,0.030314105437368566,115335,111949,0.030245915550831226
上海,115565,123848,-0.0668803694851754,79302,80098,-0.009937826162950358
四川,112323,116177,-0.03317351971560634,87316,90408,-0.03420051322891782
福建,109095,113799,-0.04133603985975276,66062,71774,-0.07958313595452393
辽宁,106034,134840,-0.21363097003856424,87532,117142,-0.25277014222055283
广东,100829,111359,-0.0945590387844718,43527,50292,-0.134514435695538
大连,95821,92693,0.033745806047921656,90642,87731,0.0331809736581139
江苏,85005,83083,0.023133493013011153,53389,53285,0.001951768790466435
山西,70619,70628,-1.274282154386519E-4,53989,53393,0.011162511939767361
浙江,68177,70920,-0.03867738296672307,56083,56648,-0.009973873746645934
吉林,67331,73663,-0.08595902963495916,49809,66686,-0.2530816063341631
深圳,59904,60500,-0.009851239669421474,20762,23438,-0.11417356429729497
安徽,54448,58122,-0.06321186469839302,36136,38274,-0.05586037518942366
新疆,53894,52713,0.02240434048526918,23016,24748,-0.06998545336996931
河南,53124,50725,0.047294233612616976,33750,31533,0.07030729711730577
河北,51324,56917,-0.09826589595375723,30110,35137,-0.14306856020718905
厦门,50864,41639,0.22154710727923344,17898,18174,-0.015186530207989435
贵州,50441,49557,0.017838045079403564,34274,33543,0.021792922517365865
湖北,43079,43780,-0.01601187756966649,26799,28636,-0.06415002095264699
湖南,41826,47650,-0.12222455403987409,30563,32954,-0.07255568368028165
云南,41507,41858,-0.00838549381241338,21568,21183,0.018174951612141887
北京,40113,37688,0.06434408830396943,22259,23271,-0.043487602595505104
天津,39978,53613,-0.25432264562699347,32212,45510,-0.2921995165897605
重庆,36632,44166,-0.17058370692387814,16530,16813,-0.01683221316838157
null,35912,39104,-0.08162847790507366,6094,9579,-0.36381668232592124
广西,30990,29666,0.04463021640935749,16855,16113,0.046049773474833966
青岛,21154,38583,-0.45172744472954407,15488,32713,-0.5265490783480573
江西,21030,46764,-0.5502950987939441,13099,39119,-0.6651499271453769
黑龙江,18557,17353,0.06938281565147242,12241,11430,0.07095363079615047
陕西,16079,17638,-0.08838870620251726,9146,10254,-0.10805539301735911
甘肃,14699,15247,-0.035941496687873054,12040,12391,-0.028327011540634328
宁波,12896,16729,-0.2291230796819893,9699,13712,-0.29266336056009334
内蒙古,10956,11855,-0.0758329818641923,5581,6536,-0.14611383108935128
海南,9802,9839,-0.0037605447708100037,4514,4767,-0.05307321166352008
宁夏,9736,10136,-0.03946329913180746,6850,7145,-0.041287613715885185
青海,6642,7112,-0.06608548931383573,4100,4476,-0.08400357462019659
西藏,796,842,-0.05463182897862229,178,179,-0.005586592178770999
