branch,city,user
辽宁,铁岭市,12127
安徽,铜陵市,11549
四川,宜宾市,21075
贵州,黔南布依苗族自治州,6965
福建,,10581
广东,东莞市,6012
湖北,孝感市,4825
湖南,长沙市,11834
安徽,,2933
浙江,衢州市,6692
山东,威海市,4021
山东,济南市,144329
广西,钦州市,1284
广西,南宁市,13892
广西,崇左市,427
贵州,毕节市,14349
江苏,扬州市,5119
云南,大理白族自治州,2026
云南,昆明市,26075
湖北,襄阳市,8961
湖北,恩施土家族苗族自治州,695
河南,驻马店市,5537
广东,揭阳市,634
山西,吕梁市,15096
安徽,马鞍山市,12476
甘肃,甘南藏族自治州,9
河北,承德市,628
黑龙江,,2959
贵州,遵义市,61039
四川,凉山彝族自治州,5429
江西,宜春市,5112
内蒙古,赤峰市,8566
山西,晋中市,14968
湖南,衡阳市,4034
河南,郑州市,65916
湖北,荆门市,17024
广东,湛江市,4071
云南,,894
江苏,连云港市,2191
江西,萍乡市,2277
四川,乐山市,5159
河北,保定市,14809
山东,临沂市,9848
浙江,,2224
西藏,日喀则市,3
新疆,哈密市,10351
内蒙古,乌海市,178
山西,大同市,11088
宁夏,,38
陕西,渭南市,1142
重庆,重庆市,109771
云南,怒江傈僳族自治州,541
河南,周口市,1609
湖北,黄石市,14547
黑龙江,齐齐哈尔市,1286
江苏,盐城市,9159
四川,眉山市,1957
广东,惠州市,3112
贵州,黔西南市,1816
山东,泰安市,6688
辽宁,本溪市,6070
河南,平顶山市,13843
辽宁,营口市,26935
山东,,9814
青海,海南藏族自治州,194
山东,东营市,9167
陕西,汉中市,633
内蒙古,锡林郭勒盟,508
江西,九江市,3233
广西,玉林市,5300
西藏,,1
贵州,黄南州市,93
湖北,武汉市,29176
四川,绵阳市,12179
新疆,博尔塔拉蒙古自治州,7255
贵州,铜仁市,15009
安徽,宿州市,6436
广东,汕头市,1660
新疆,双河市（自治区直辖）,1
新疆,,1145
江苏,镇江市,1425
云南,红河哈尼族彝族自治州,2198
海南,三沙市,36
西藏,山南市,2
宁夏,吴忠市,15066
辽宁,葫芦岛市,7458
海南,三亚市,5265
湖北,黄冈市,1999
浙江,台州市,7307
甘肃,兰州市,48120
湖北,咸宁市,375
广西,柳州市,3363
内蒙古,兴安盟,101
四川,雅安市,9963
云南,玉溪市,472
青海,果洛藏族自治州,16
江西,抚州市,4533
西藏,拉萨市,2158
甘肃,嘉峪关市,223
辽宁,抚顺市,23541
青海,玉树市,4
山西,阳泉市,3315
福建,南平市,21702
辽宁,盘锦市,5457
江苏,南京市,66302
吉林,白城市,6226
甘肃,金昌市,391
江苏,泰州市,2577
四川,成都市,140489
广西,,701
陕西,延安市,1779
甘肃,临夏回族自治州,599
新疆,阿拉尔市（自治区直辖）,30
深圳,深圳市,86636
安徽,淮南市,22845
安徽,亳州市,2583
贵州,,2156
广东,中山市,2992
青海,海西藏族自治州,1147
贵州,黔南布依族苗族自治州,16495
四川,巴中市,1999
安徽,芜湖市,6890
浙江,绍兴市,4491
云南,普洱市,163
内蒙古,,254
安徽,宣城市,4516
辽宁,沈阳市,106857
大连,大连市,97229
湖南,张家界市,10313
广东,云浮市,1032
甘肃,天水市,790
甘肃,酒泉市,588
吉林,延边朝鲜族自治州,2754
甘肃,张掖市,1349
江苏,南充市,17365
河南,安阳市,6092
新疆,克拉玛依市,305
天津,北京市,12673
宁夏,中卫市,371
吉林,吉林市,39720
四川,南充市,2538
山西,朔州市,5141
黑龙江,双鸭山市,3781
河南,商丘市,5416
福建,宁德市,7429
四川,资阳市,4322
四川,,2736
山西,长治市,2978
北京,北京市,51442
陕西,安康市,4858
辽宁,丹东市,15988
吉林,白山市,9978
西藏,林芝市,4
河北,唐山市,46698
河南,信阳市,4953
黑龙江,大庆市,7290
广西,贺州市,2193
广东,清远市,986
浙江,金华市,25521
吉林,四平市,4043
云南,迪庆藏族自治州,25
新疆,塔城地区,1960
黑龙江,佳木斯市,1846
江西,新余市,5580
广东,河源市,379
贵州,贵安新区,104
湖南,湘西土家族苗族自治州,1118
河北,沧州市,2151
广东,广州市,51174
云南,保山市,136
山东,聊城市,12318
四川,德阳市,7094
甘肃,白银市,1406
山东,莱芜市,9085
福建,福州市,109014
广西,北海市,711
江西,赣州市,6442
安徽,蚌埠市,7563
青海,海北藏族自治州,47
湖南,株洲市,4719
山西,临汾市,9745
辽宁,朝阳市,24028
河南,新乡市,8217
黑龙江,黑河市,611
天津,天津市,162205
陕西,西安市,43346
安徽,滁州市,2080
江西,南昌市,26604
云南,楚雄彝族自治州,315
内蒙古,呼和浩特市,13310
广东,阳江市,619
湖南,郴州市,3071
甘肃,陇南市,2724
贵州,黔东南苗族侗族自治州,12487
山东,德州市,5750
黑龙江,大兴安岭地区,412
青岛,青岛市,96784
江苏,徐州市,18061
福建,龙岩市,21930
河北,,784
河南,许昌市,10986
浙江,嘉兴市,6547
新疆,图木舒克市（自治区直辖）,9
安徽,黄山市,3755
