branch,city,user
福建,,10535
湖北,孝感市,3465
湖南,长沙市,13172
浙江,衢州市,7197
山东,威海市,4276
广西,钦州市,1312
广西,南宁市,14416
湖北,恩施土家族苗族自治州,693
河南,驻马店市,6457
山西,吕梁市,14411
安徽,马鞍山市,13229
内蒙古,赤峰市,8947
湖北,荆门市,18104
广东,湛江市,3198
新疆,哈密市,10630
广西,崇左市,606
贵州,毕节市,15734
广西,桂林市,16009
云南,大理白族自治州,2008
云南,昆明市,21313
宁夏,,50
广东,揭阳市,655
四川,绵阳市,13846
山东,枣庄市,9623
黑龙江,齐齐哈尔市,1277
黑龙江,,2992
广东,江门市,5289
山东,淄博市,4398
四川,攀枝花市,14001
新疆,博尔塔拉蒙古自治州,7244
贵州,铜仁市,16272
湖南,衡阳市,5876
河南,郑州市,71967
广西,梧州市,7691
山东,泰安市,6172
广东,汕头市,1523
新疆,双河市（自治区直辖）,1
新疆,,920
江苏,镇江市,1523
湖南,怀化市,1754
江苏,连云港市,1746
江西,萍乡市,1906
河南,平顶山市,14696
新疆,铁门关市（自治区直辖）,3
辽宁,营口市,27550
山东,,10364
陕西,渭南市,1150
重庆,重庆市,112090
贵州,遵义市,67839
四川,凉山彝族自治州,6033
辽宁,铁岭市,11904
安徽,铜陵市,12331
江苏,盐城市,10286
四川,眉山市,2350
深圳,深圳市,68487
山西,晋中市,13358
广东,中山市,2668
青海,海西藏族自治州,1402
贵州,黔南布依族苗族自治州,18362
山东,东营市,10058
陕西,汉中市,685
内蒙古,锡林郭勒盟,599
云南,怒江傈僳族自治州,879
四川,宜宾市,24283
贵州,黔南布依苗族自治州,8186
西藏,山南市,7
山西,太原市,65603
四川,乐山市,5927
河北,保定市,15520
山东,临沂市,9802
浙江,,2400
西藏,日喀则市,4
四川,巴中市,2251
新疆,克拉玛依市,269
四川,雅安市,12237
云南,玉溪市,306
广东,东莞市,5436
贵州,黔西南市,7008
四川,南充市,2632
山西,朔州市,5488
黑龙江,双鸭山市,3399
甘肃,嘉峪关市,274
云南,普洱市,124
河北,邯郸市,15971
安徽,,2822
内蒙古,乌海市,297
山西,大同市,5457
北京,北京市,49951
广东,肇庆市,980
江西,九江市,2387
福建,南平市,20578
甘肃,,1276
河南,信阳市,5038
黑龙江,大庆市,7202
辽宁,沈阳市,87263
江苏,泰州市,2705
湖南,常德市,6458
广西,来宾市,743
贵州,安顺市,14846
广西,玉林市,5557
甘肃,临夏回族自治州,699
湖南,永州市,6121
广西,,712
陕西,延安市,2471
湖北,武汉市,27470
江西,上饶市,1388
安徽,宿州市,6719
云南,红河哈尼族彝族自治州,2359
海南,三沙市,47
河北,沧州市,2345
广东,广州市,44547
云南,保山市,153
山东,聊城市,13286
广东,云浮市,926
贵州,贵阳市,77380
新疆,喀什地区,6279
广西,北海市,782
吉林,延边朝鲜族自治州,3150
甘肃,张掖市,1883
浙江,湖州市,3052
内蒙古,兴安盟,102
黑龙江,大兴安岭地区,465
云南,德宏傣族景颇族自治州,131
河南,商丘市,6045
福建,宁德市,7891
四川,资阳市,4822
山西,晋城市,2607
安徽,六安市,7357
河北,廊坊市,9978
安徽,安庆市,3617
江苏,南充市,19336
河南,安阳市,7024
吉林,白山市,10428
西藏,林芝市,24
宁夏,中卫市,335
吉林,吉林市,40481
河南,三门峡市,1322
吉林,四平市,3914
云南,迪庆藏族自治州,33
新疆,塔城地区,2052
黑龙江,佳木斯市,1926
青海,果洛藏族自治州,22
宁夏,吴忠市,16228
辽宁,葫芦岛市,10313
海南,三亚市,5811
陕西,安康市,5586
辽宁,丹东市,17294
浙江,温州市,24035
山东,济南市,146867
天津,北京市,9806
内蒙古,通辽市,9370
新疆,阿拉尔市（自治区直辖）,23
湖北,黄冈市,2185
浙江,台州市,9896
甘肃,兰州市,55745
青海,,2309
西藏,那曲市,12
吉林,,14015
吉林,通化市,19340
广西,贺州市,2834
广东,清远市,1013
浙江,金华市,26803
辽宁,朝阳市,24745
河南,新乡市,7862
安徽,淮南市,24274
安徽,亳州市,3236
辽宁,抚顺市,20845
青海,玉树市,2
福建,泉州市,30232
湖北,咸宁市,430
内蒙古,呼和浩特市,13069
广东,阳江市,426
广东,河源市,392
江苏,扬州市,1109
广东,佛山市,10805
上海,上海市,226902
广西,柳州市,5414
辽宁,锦州市,54311
青岛,青岛市,78553
江苏,徐州市,20106
四川,德阳市,7979
甘肃,白银市,1766
湖北,襄阳市,9331
贵州,,2478
辽宁,盘锦市,5606
江苏,南京市,77458
江西,抚州市,4236
西藏,拉萨市,2386
广东,珠海市,1854
四川,达州市,24552
甘肃,甘南藏族自治州,17
河北,承德市,665
江西,,4860
广东,潮州市,691
吉林,辽源市,1446
山西,阳泉市,2907
贵州,贵安新区,66
湖南,湘西土家族苗族自治州,1203
安徽,芜湖市,7129
浙江,绍兴市,5059
江西,宜春市,3289
山东,莱芜市,5373
内蒙古,,264
河南,漯河市,1525
吉林,白城市,6821
甘肃,金昌市,426
云南,,931
四川,成都市,162942
山西,临汾市,10967
四川,内江市,7910
河北,石家庄市,26197
四川,广安市,10161
null,null,48492
江西,新余市,4794
江苏,宿迁市,1316
福建,莆田市,18967
湖南,郴州市,5106
福建,福州市,117911
福建,龙岩市,22480
新疆,图木舒克市（自治区直辖）,13
安徽,蚌埠市,7636
青海,海北藏族自治州,97
湖南,株洲市,5015
广西,河池市,4124
黑龙江,黑河市,772
四川,阿坝藏族羌族自治州,28
河南,开封市,2033
安徽,合肥市,48548
黑龙江,鸡西市,5228
山西,忻州市,2342
江西,南昌市,14500
云南,楚雄彝族自治州,213
甘肃,平凉市,2427
新疆,乌鲁木齐市,23678
浙江,丽水市,968
厦门,厦门市,73063
河北,张家口市,8775
新疆,可克达拉市(自治区直辖),4
黑龙江,哈尔滨市,9373
贵州,黔东南苗族侗族自治州,13190
山东,德州市,5960
江苏,,12644
内蒙古,乌兰察布市,1458
贵州,黔东南侗族自治州,2961
广东,茂名市,1633
黑龙江,伊春市,811
浙江,杭州市,103642
河北,,804
河南,许昌市,12687
浙江,嘉兴市,4084
湖北,,12526
云南,昭通市,222
河南,周口市,1389
湖北,黄石市,15635
新疆,阿勒泰地区,1350
青海,海西蒙古族藏族自治州,16
安徽,黄山市,3705
湖南,岳阳市,2170
宁夏,固原市,11178
湖南,益阳市,5124
福建,三明市,66870
河北,秦皇岛市,1825
青海,海东市,3333
山东,潍坊市,31018
四川,,2913
山西,长治市,3105
山西,,363
西藏,阿里地区,3
河北,唐山市,49863
西藏,昌都市,1
云南,西双版纳傣族自治州,85
江西,赣州市,4940
四川,甘孜藏族自治州,353
湖南,湘潭市,4338
江西,鹰潭市,4192
黑龙江,绥化市,3371
湖北,随州市,2676
安徽,宣城市,4360
贵州,六盘水市,17931
福建,漳州市,14935
新疆,伊犁哈萨克自治州,5122
云南,临沧市,46
陕西,铜川市,1848
陕西,商洛市,636
山东,日照市,4658
天津,天津市,197392
陕西,西安市,50491
安徽,滁州市,1937
大连,大连市,93919
湖南,张家界市,11024
广东,惠州市,3048
新疆,吐鲁番市,2978
山东,滨州市,5263
江苏,南通市,15312
山东,济宁市,3340
甘肃,陇南市,3335
甘肃,天水市,963
新疆,和田地区,33
辽宁,辽阳市,5300
江苏,无锡市,6122
宁波,宁波市,85682
吉林,长春市,65338
陕西,宝鸡市,5866
安徽,淮北市,2579
湖北,宜昌市,11859
陕西,咸阳市,3875
山西,运城市,3692
河南,濮阳市,3711
内蒙古,阿拉善盟,265
海南,,12980
海南,海口市,10466
湖南,邵阳市,25320
江苏,苏州市,15822
甘肃,武威市,3112
河南,,1714
河北,邢台市,5118
湖南,,6101
黑龙江,牡丹江市,10191
江西,景德镇市,6876
内蒙古,呼伦贝尔市,3850
广东,汕尾市,217
新疆,阿克苏地区,1408
湖北,鄂州市,17583
新疆,石河子市（自治区直辖）,1032
广西,防城港市,506
广东,韶关市,2772
广东,,23330
广西,贵港市,4311
甘肃,酒泉市,746
甘肃,庆阳市,1077
宁夏,石嘴山市,1710
新疆,五家渠市（自治区直辖）,1
陕西,,2252
江苏,淮安市,4896
河南,焦作市,2034
甘肃,定西市,8758
浙江,舟山市,731
湖北,荆州市,15052
四川,自贡市,4938
青海,西宁市,16706
陕西,榆林市,2514
四川,遂宁市,3512
新疆,昌吉回族自治州,13314
内蒙古,巴彦淖尔市,2237
辽宁,鞍山市,17458
广西,百色市,1106
安徽,阜阳市,26303
山东,菏泽市,14070
河南,鹤壁市,3415
辽宁,,9172
江苏,常州市,9103
辽宁,本溪市,4404
内蒙古,鄂尔多斯市,661
安徽,池州市,3841
辽宁,阜新市,18492
黑龙江,鹤岗市,1328
陕西,西咸新区,12
四川,广元市,8511
青海,海南藏族自治州,275
黑龙江,七台河市,319
河南,南阳市,13973
贵州,黄南州市,137
湖南,娄底市,11234
江西,吉安市,5087
吉林,松原市,5433
云南,文山壮族苗族自治州,2735
广东,梅州市,638
宁夏,银川市,57190
河北,衡水市,1733
云南,曲靖市,11802
山东,烟台市,16939
云南,丽江市,90
内蒙古,包头市,11419
四川,泸州市,6054
湖北,十堰市,1422
新疆,克孜勒苏柯尔克孜自治州,3
河南,洛阳市,18757
新疆,巴音郭楞蒙古自治州,16506
