branch,city,user2
辽宁,铁岭市,2378
湖南,湘西土家族苗族自治州,306
四川,凉山彝族自治州,2503
四川,宜宾市,4423
贵州,黔西南市,371
河南,商丘市,1889
江苏,镇江市,994
甘肃,平凉市,434
安徽,蚌埠市,1408
广西,玉林市,1908
宁波,宁波市,10123
安徽,淮南市,1951
山西,晋中市,1807
湖北,武汉市,11610
吉林,,2853
四川,内江市,1320
广西,南宁市,5083
浙江,,1063
西藏,日喀则市,3
贵州,毕节市,2562
山东,德州市,2958
贵州,,674
新疆,塔城地区,46
海南,三亚市,1314
河南,驻马店市,743
黑龙江,佳木斯市,374
湖南,常德市,2166
江西,鹰潭市,166
辽宁,沈阳市,32719
浙江,杭州市,21306
云南,昭通市,141
宁夏,中卫市,129
新疆,和田地区,11
湖北,黄石市,718
新疆,阿勒泰地区,47
青海,海西蒙古族藏族自治州,6
广东,云浮市,803
广西,柳州市,752
贵州,贵阳市,12772
四川,达州市,1909
辽宁,丹东市,1017
内蒙古,巴彦淖尔市,352
吉林,延边朝鲜族自治州,1498
陕西,,340
广东,惠州市,1293
广东,湛江市,920
安徽,淮北市,488
厦门,厦门市,32011
新疆,吐鲁番市,4331
湖北,襄阳市,4158
吉林,松原市,1545
辽宁,本溪市,5089
江苏,泰州市,1563
湖南,衡阳市,1986
贵州,遵义市,7985
青海,,1178
贵州,黄南州市,6
黑龙江,七台河市,153
四川,,755
山东,日照市,9136
山东,莱芜市,977
湖北,孝感市,3882
河北,沧州市,1163
云南,,108
内蒙古,阿拉善盟,227
山西,临汾市,12441
浙江,衢州市,1996
内蒙古,通辽市,1132
内蒙古,呼伦贝尔市,472
四川,乐山市,1806
吉林,白山市,126
陕西,西安市,7418
安徽,安庆市,2411
安徽,滁州市,1024
湖北,黄冈市,684
浙江,台州市,3297
四川,甘孜藏族自治州,57
湖南,湘潭市,4053
辽宁,锦州市,4061
河南,新乡市,1352
湖北,咸宁市,254
甘肃,陇南市,86
辽宁,辽阳市,1158
河南,开封市,2081
河南,周口市,1241
内蒙古,,12
西藏,拉萨市,443
大连,大连市,88545
江苏,常州市,2681
山西,运城市,790
江苏,盐城市,11287
四川,眉山市,1257
云南,文山壮族苗族自治州,104
吉林,辽源市,1035
辽宁,阜新市,2234
吉林,白城市,3690
甘肃,金昌市,96
新疆,克拉玛依市,25
山西,,117
广东,茂名市,1476
广东,江门市,6424
云南,大理白族自治州,342
广东,珠海市,1195
江西,新余市,3449
云南,怒江傈僳族自治州,16
云南,德宏傣族景颇族自治州,25
云南,临沧市,34
安徽,铜陵市,1451
贵州,贵安新区,4
福建,福州市,28574
深圳,深圳市,42954
安徽,六安市,1223
山西,忻州市,416
湖南,怀化市,1173
广东,清远市,616
浙江,金华市,3791
新疆,博尔塔拉蒙古自治州,71
福建,宁德市,1611
四川,资阳市,1412
湖南,长沙市,5673
广东,中山市,2263
贵州,黔南布依族苗族自治州,2138
浙江,温州市,17962
山东,泰安市,2373
山东,滨州市,2897
广东,汕头市,1067
新疆,,230
青海,海北藏族自治州,54
黑龙江,,387
浙江,丽水市,261
安徽,亳州市,798
四川,巴中市,258
黑龙江,大庆市,1136
湖南,株洲市,1495
广西,钦州市,513
安徽,宿州市,714
安徽,,519
云南,楚雄彝族自治州,153
黑龙江,哈尔滨市,6297
湖北,恩施土家族苗族自治州,367
江苏,宿迁市,623
辽宁,葫芦岛市,3809
云南,迪庆藏族自治州,1
海南,,1189
江苏,苏州市,12036
河南,平顶山市,3488
