branch,city,count(distinct cdhd_usr_id)
辽宁,铁岭市,12127
安徽,铜陵市,11549
四川,宜宾市,20692
贵州,黔南布依苗族自治州,5682
广东,东莞市,6012
福建,,10581
安徽,,2933
湖北,孝感市,4825
湖南,长沙市,11834
山东,济南市,144329
浙江,衢州市,6692
山东,威海市,4021
江苏,扬州市,5119
广西,钦州市,1284
广西,南宁市,13127
湖北,襄阳市,8961
湖北,恩施土家族苗族自治州,695
河南,驻马店市,5358
甘肃,甘南藏族自治州,9
河北,承德市,628
山西,吕梁市,15096
安徽,马鞍山市,12113
江西,宜春市,5112
内蒙古,赤峰市,8566
云南,,894
湖北,荆门市,17024
广东,湛江市,4071
新疆,哈密市,10351
宁夏,,38
广西,崇左市,427
贵州,毕节市,14349
云南,大理白族自治州,2026
云南,昆明市,25203
广东,揭阳市,634
黑龙江,,2959
湖南,衡阳市,3907
河南,郑州市,61110
江苏,连云港市,2191
江西,萍乡市,2277
陕西,渭南市,1142
重庆,重庆市,99686
江苏,盐城市,9159
四川,眉山市,1957
贵州,遵义市,58118
四川,凉山彝族自治州,5429
山西,晋中市,14968
四川,乐山市,5159
河北,保定市,14809
山东,临沂市,9848
浙江,,2224
西藏,日喀则市,3
内蒙古,乌海市,178
山西,大同市,11088
河南,周口市,1609
湖北,黄石市,14314
黑龙江,齐齐哈尔市,1286
广东,惠州市,3112
山东,泰安市,6688
河南,平顶山市,13843
辽宁,营口市,26935
山东,,9814
山东,东营市,9167
陕西,汉中市,633
内蒙古,锡林郭勒盟,508
四川,雅安市,9963
云南,玉溪市,472
辽宁,本溪市,6070
甘肃,嘉峪关市,223
青海,海南藏族自治州,194
广东,肇庆市,1039
四川,绵阳市,12179
福建,南平市,21676
湖南,常德市,5940
广西,来宾市,485
贵州,安顺市,12476
新疆,博尔塔拉蒙古自治州,7255
贵州,铜仁市,15009
贵州,黄南州市,76
江苏,泰州市,2577
贵州,贵阳市,67948
新疆,喀什地区,6018
广东,汕头市,1626
新疆,双河市（自治区直辖）,1
新疆,,1145
江苏,镇江市,1425
广西,,701
陕西,延安市,1779
浙江,湖州市,2189
山西,晋城市,2535
河北,廊坊市,8111
内蒙古,通辽市,8504
福建,泉州市,27137
西藏,山南市,2
辽宁,锦州市,50308
宁夏,吴忠市,15066
辽宁,葫芦岛市,7458
海南,三亚市,4984
吉林,长春市,61541
湖北,黄冈市,1984
浙江,台州市,6942
甘肃,兰州市,48120
湖北,咸宁市,375
陕西,咸阳市,3690
山西,运城市,4401
广西,柳州市,3363
江西,抚州市,4533
西藏,拉萨市,1928
山西,阳泉市,3315
吉林,白城市,6226
甘肃,金昌市,391
云南,怒江傈僳族自治州,541
贵州,黔西南市,1362
江西,九江市,3233
深圳,深圳市,86636
广西,玉林市,5300
西藏,,1
广东,中山市,2992
青海,海西藏族自治州,927
贵州,黔南布依族苗族自治州,16495
湖北,武汉市,29176
四川,巴中市,1999
安徽,宿州市,6436
云南,普洱市,163
云南,红河哈尼族彝族自治州,2198
海南,三沙市,36
辽宁,沈阳市,106857
内蒙古,兴安盟,101
广东,云浮市,1032
青海,果洛藏族自治州,16
吉林,延边朝鲜族自治州,2754
甘肃,张掖市,1349
辽宁,抚顺市,23541
青海,玉树市,2
江苏,南充市,14147
河南,安阳市,5913
辽宁,盘锦市,5457
江苏,南京市,58299
天津,北京市,12673
四川,成都市,128215
四川,,2736
山西,长治市,2978
河北,唐山市,46698
云南,德宏傣族景颇族自治州,129
安徽,六安市,6903
新疆,克拉玛依市,305
浙江,温州市,24540
甘肃,临夏回族自治州,599
四川,南充市,2538
山西,朔州市,5141
黑龙江,双鸭山市,3781
吉林,,19821
吉林,通化市,18025
北京,北京市,51442
西藏,昌都市,2
云南,西双版纳傣族自治州,96
河南,信阳市,4953
黑龙江,大庆市,7290
福建,漳州市,11681
河北,沧州市,2151
广东,广州市,50761
云南,保山市,136
山东,聊城市,12318
新疆,吐鲁番市,3019
广西,北海市,711
河南,商丘市,5253
福建,宁德市,7429
四川,资阳市,4024
黑龙江,大兴安岭地区,412
广东,汕尾市,201
新疆,阿克苏地区,1609
吉林,白山市,9978
西藏,林芝市,4
安徽,安庆市,3500
宁夏,石嘴山市,1545
新疆,阿拉尔市（自治区直辖）,30
河南,三门峡市,1301
吉林,四平市,4043
云南,迪庆藏族自治州,25
新疆,塔城地区,1960
黑龙江,佳木斯市,1846
安徽,淮南市,19499
安徽,亳州市,2583
浙江,舟山市,847
湖北,荆州市,14152
河南,漯河市,1339
宁夏,中卫市,371
吉林,吉林市,35893
辽宁,朝阳市,24028
河南,新乡市,8217
河北,石家庄市,26865
四川,广安市,8979
null,null,48954
山东,菏泽市,12670
陕西,安康市,4858
辽宁,丹东市,15988
内蒙古,呼和浩特市,13310
广东,阳江市,619
贵州,,2156
广西,贺州市,2193
广东,清远市,986
浙江,金华市,25521
青岛,青岛市,96784
江苏,徐州市,15469
安徽,芜湖市,6268
