branch,city,mchnt_cd,mchnt_nm,type1,scene,cnt,trans,discnt,utrans,user
新疆,乌鲁木齐市,QRC000001545200,乌市利安铁路局营业厅(*利斌),主扫,零售,3763,7526.0,3763,1502.0,3763
新疆,乌鲁木齐市,105001458129498,中国铁路乌鲁木齐局乌鲁木齐机务段,被扫,食堂,1610,5382.0,120,16.0,1102
新疆,乌鲁木齐市,105001458129512,中国铁路乌鲁木齐局乌鲁木齐西车辆段,被扫,食堂,1286,4312.0,178,13.0,849
新疆,乌鲁木齐市,898650182200049,新疆医科大学,被扫,校园,898,14872.0,31,59.0,695
新疆,乌鲁木齐市,105001458129509,中国铁路乌鲁木齐局乌鲁木齐车辆段,被扫,食堂,796,2700.0,73,12.0,558
新疆,乌鲁木齐市,105001658121704,中国铁路乌鲁木齐局工务机械段,被扫,食堂,763,2515.0,93,26.0,557
新疆,乌鲁木齐市,105002058125991,中铁乌局集团有限公司瑞豪酒店职工食堂,被扫,餐饮,599,1876.0,60,3.0,420
新疆,乌鲁木齐市,105001458129433,中国铁路乌鲁木齐局集团有限公司乌鲁木齐站,被扫,食堂,579,1940.0,36,22.0,455
新疆,乌鲁木齐市,105001658128312,中国铁路乌鲁木齐局阿拉山口站职工食堂,被扫,食堂,491,1626.0,49,2.0,289
新疆,乌鲁木齐市,105001458129422,中国铁路乌鲁木齐局乌鲁木齐西站,被扫,食堂,437,1450.0,43,3.0,313
新疆,乌鲁木齐市,105001458129489,中国铁路乌鲁木齐局乌鲁木齐货运中心,被扫,食堂,382,1232.0,54,3.0,247
新疆,乌鲁木齐市,105001458129461,中国铁路乌鲁木齐局乌鲁木齐客运段,被扫,食堂,360,1098.0,54,3.0,247
新疆,乌鲁木齐市,105001458129513,中国铁路乌鲁木齐局乌鲁木齐房产公寓段,被扫,食堂,351,1208.0,47,7.0,271
新疆,乌鲁木齐市,105001458129447,中国铁路乌鲁木齐局乌鲁木齐电务段,被扫,食堂,343,1120.0,51,6.0,235
新疆,乌鲁木齐市,105001458129488,中国铁路乌鲁木齐局乌鲁木齐供电段,被扫,食堂,292,932.0,34,3.0,191
新疆,乌鲁木齐市,105001658121695,中国铁路乌鲁木齐局集团有限公司高铁维修段,被扫,食堂,275,930.0,17,2.0,188
新疆,乌鲁木齐市,105001458129443,中铁乌鲁木齐局集团有限公司乌市工务段食堂,被扫,食堂,257,874.0,43,2.0,178
新疆,乌鲁木齐市,898650154111154,新疆好家乡超市有限公司,被扫,零售,238,19979.0,230,90.0,221
新疆,乌鲁木齐市,898650154111056,新疆好家乡超市有限公司乌鲁木齐世贸广场店,被扫,零售,238,19889.0,217,92.0,224
新疆,乌鲁木齐市,QRA881354110UV9,新疆柏菲特顶红商贸有限公司,被扫,零售,238,8843.0,183,93.0,174
新疆,乌鲁木齐市,301650154119997,新疆七一酱园综合购物有限公司,被扫,零售,200,13932.0,189,101.0,190
新疆,乌鲁木齐市,105001458129515,中国铁路乌鲁木齐局职工教育培训基地,被扫,食堂,194,626.0,23,4.0,128
新疆,乌鲁木齐市,898650154111333,新疆友好百盛商业发展有限公司超市,被扫,零售,181,11804.0,171,67.0,172
新疆,乌鲁木齐市,898650154111353,乌鲁木齐东方爱家超市有限公司,被扫,零售,174,15959.0,165,332.0,167
新疆,乌鲁木齐市,105001458129457,中国铁路乌鲁木齐局乌鲁木齐通信段,被扫,食堂,167,538.0,20,1.0,115
新疆,乌鲁木齐市,898650154111340,新疆好家乡超市股份有限公司乌鲁木齐幸福店,被扫,零售,163,14106.0,150,59.0,154
新疆,乌鲁木齐市,898650154111334,新疆好家乡超市有限公司乌鲁木齐鲤鱼山店,被扫,零售,151,14014.0,135,56.0,139
新疆,乌鲁木齐市,898650154111349,新疆爱家超市集团乌鲁木齐南门分公司,被扫,零售,150,10916.0,139,263.0,141
新疆,乌鲁木齐市,898650154111124,新疆友好（集团）股份有限公司友好商场,被扫,零售,145,12898.0,83,33.0,134
新疆,乌鲁木齐市,898650154111192,新疆好家乡超市有限公司乌鲁木齐七一店,被扫,零售,137,8630.0,124,57.0,133
新疆,乌鲁木齐市,105001658129148,中国铁路乌鲁木齐局乌鲁木齐车务段,被扫,食堂,128,382.0,27,1.0,85
新疆,乌鲁木齐市,898650154111356,乌鲁木齐北方爱家超市有限公司,被扫,零售,128,15031.0,124,51.0,125
新疆,乌鲁木齐市,898650189991456,中国农业发展银行区分行职工教育培训中心,被扫,食堂,118,495.0,3,0.0,74
新疆,乌鲁木齐市,898650154111181,新疆友好（集团）股份有限公司天山百货大楼,被扫,零售,115,11160.0,77,29.0,109
新疆,乌鲁木齐市,898650189991461,新疆兴成智合信息科技有限公司,主扫,餐饮,112,2352.0,0,0.0,112
新疆,乌鲁木齐市,944893341310002,阿合奇县奇通公交有限公司,被扫,公交地铁,109,109.0,4,0.0,61
新疆,乌鲁木齐市,898654041110035,霍尔果斯金边旅游开发有限公司（公交）,被扫,公交地铁,101,202.0,6,0.0,67
