branch,city,mchnt_cd,mchnt_nm,type1,scene,cnt,trans,discnt,utrans,user
河南,三门峡市,418411258149174,人行三门峡中支职工餐厅,被扫,餐饮,146,216.0,112,23.0,99
河南,三门峡市,AA1609110641834,渑池仰韶公交公司,被扫,其他,121,149.0,29,8.0,79
河南,三门峡市,418411241119321,三门峡市陕州区公交公司,被扫,公交地铁,99,183.0,11,5.0,66
河南,三门峡市,898421254110794,河南美道家实业有限公司,被扫,零售,81,6640.0,34,252.0,78
河南,三门峡市,AA1609110657595,运输公司渑池分公司,被扫,其他,71,179.0,14,13.0,53
河南,三门峡市,898411254110458,河南丹尼斯百货有限公司,被扫,零售,51,4365.0,18,7.0,45
河南,三门峡市,898411254110445,三门峡开发区虢都和美超市,被扫,零售,49,454.0,36,19.0,43
河南,三门峡市,886584042150007,顺丰速运有限公司,主扫,其他,48,1825.0,34,236.0,41
河南,三门峡市,QRA505654110001,三门峡大兴百货有限公司,被扫,零售,45,3327.0,18,5.0,39
河南,三门峡市,qra505658120002,人行三门峡中支职工餐厅,主扫,餐饮,41,1214.0,34,33.0,36
河南,三门峡市,QRC144000001880,渑池农商银行职工餐厅,主扫,餐饮,40,91.0,39,8.0,22
河南,三门峡市,898421254110795,河南美道家实业有限公司,被扫,零售,30,2683.0,12,3.0,29
河南,三门峡市,QRC144086900316,渑池人行饭堂,主扫,餐饮,29,51.0,26,17.0,18
河南,三门峡市,898411258121188,三门峡市人民检察院机关后勤服务中心,被扫,食堂,26,94.0,19,4.0,18
河南,三门峡市,AA1810240020724,义马农商银行职工餐厅,主扫,零售,23,69.0,15,12.0,20
河南,三门峡市,QRC144000008873,义马人行饭堂POS,主扫,餐饮,22,68.0,20,17.0,15
河南,三门峡市,QRC000000319420,职工食堂(*新新),主扫,零售,21,96.0,9,2.0,19
河南,三门峡市,940411253115223,渑池好又多百货有限公司,被扫,零售,20,1251.0,12,113.0,19
河南,三门峡市,QRA50535814000F,三门峡市灵宝个体户顾娟娥,主扫,餐饮,19,59.0,17,19.0,13
河南,三门峡市,898411253110527,三门峡兰香副食贸易有限公司,被扫,零售,19,498.0,19,27.0,19
河南,三门峡市,QRA5053541107PV,张湾超市收银员②,主扫,零售,12,224.0,12,6.0,11
河南,三门峡市,QRA5054541107PU,好又多超市,被扫,零售,11,865.0,4,80.0,11
河南,三门峡市,QRC000000374363,卢氏工行职工餐厅(*敬民),主扫,零售,10,35.0,3,0.0,9
河南,三门峡市,940411254118517,义马鸿泰购物中心,被扫,零售,9,583.0,3,5.0,9
河南,三门峡市,102505054110081,百顺超市,被扫,零售,9,37.0,9,8.0,5
河南,三门峡市,QRC000000317567,赵西琴(*西琴),主扫,零售,9,18.0,9,10.0,8
河南,三门峡市,QRC000000290507,农发行食堂(*红群),主扫,零售,9,20.0,3,0.0,7
河南,三门峡市,QRA505454110008,大润发超市,被扫,零售,9,804.0,7,1.0,9
河南,三门峡市,QRC000000344457,卢氏中原职工餐厅码,主扫,零售,9,42.0,1,0.0,7
河南,三门峡市,836505458120021,三门峡市千禧熟食酒店,被扫,餐饮,8,8000.0,0,0.0,2
河南,三门峡市,000000002717374,杨孝业早餐,主扫,零售,7,0.0,0,0.0,6
河南,三门峡市,898411254110489,灵宝市德裕商贸有限公司,被扫,零售,7,375.0,1,0.0,6
河南,三门峡市,AA1905100471346,公共交通有限公司,被扫,公交地铁,7,7.0,0,0.0,3
河南,三门峡市,QRA505375121PQA,出租车孙宏孝,主扫,其他,6,1520.0,6,1502.0,2
河南,三门峡市,105411254110036,卢氏县城关西都恒通商场,被扫,零售,6,230.0,1,0.0,6
河南,三门峡市,940505253990003,三门峡大兴百货有限公司,被扫,零售,6,311.0,2,0.0,6
河南,三门峡市,000000003762790,有啥买啥,主扫,零售,6,10.0,6,5.0,5
河南,三门峡市,898411254110514,三门峡市康乐超市(普通合伙),被扫,零售,6,104.0,6,8.0,6
河南,三门峡市,84941125814003O,灵宝市道客厨房快餐店,被扫,餐饮,6,6000.0,0,0.0,1
河南,三门峡市,QRC000001457977,xixiheart,主扫,零售,6,0.0,6,0.0,6
河南,三门峡市,850411275429883,三门峡开发区爱卡洗车行,主扫,其他,6,5220.0,1,0.0,3
河南,三门峡市,QRC000000401332,灵宝市邮政分公司食堂,主扫,零售,5,19.0,2,0.0,4
河南,三门峡市,850411259779881,三门峡市日用百货,主扫,零售,5,5000.0,1,0.0,1
河南,三门峡市,000000002717371,黄河路黄东超市,主扫,零售,5,1002.0,3,4.0,3
河南,三门峡市,857411279116121,三门峡市湖滨区逍遥圆娱乐城,主扫,其他,5,5000.0,0,0.0,1
河南,三门峡市,104411253110024,三门峡大张百货,被扫,零售,5,1415.0,3,4.0,4
河南,三门峡市,84941125977K002,三门峡市湖滨区张云化妆造型美甲工作室,被扫,零售,5,5000.0,1,0.0,1
河南,三门峡市,898411256410186,灵宝市袁江涛孕婴店,被扫,零售,5,341.0,0,0.0,2
河南,三门峡市,821505054110PAC,灵宝市新合作实业有限公司,被扫,零售,5,78.0,5,6.0,5
河南,三门峡市,84850F358120024,灵宝市鼓香楼餐饮有限公司,主扫,餐饮,5,5000.0,0,0.0,1
河南,三门峡市,850411253119856,三门峡市富源饮水百货店,主扫,零售,5,4999.0,0,0.0,3
河南,三门峡市,AA1609330611098,毋建录,主扫,零售,5,497.0,3,491.0,4
河南,三门峡市,898411254110509,三门峡开发区向阳康乐超市,被扫,零售,5,292.0,4,4.0,4
河南,三门峡市,000000000551762,宏远市场菜摊5号摊位,主扫,零售,5,0.0,0,0.0,5
河南,三门峡市,QRC000000272486,浩勤超市(*素勤),主扫,零售,5,2.0,5,0.0,5
河南,三门峡市,000000004336382,优实惠便利店,被扫,零售,5,707.0,4,6.0,4
河南,三门峡市,898411254110467,河南美道家实业有限公司,被扫,零售,5,699.0,2,0.0,4
河南,三门峡市,82350565399DAEA,三门峡开发区千里红超市,被扫,零售,4,57.0,2,0.0,3
河南,三门峡市,QRC000000012217,铁刚(*铁刚),主扫,零售,4,0.0,4,0.0,4
河南,三门峡市,QRC000000113443,有啥买啥,主扫,零售,4,1.0,4,0.0,4
河南,三门峡市,84850F256510007,三门峡市陕州区明菊服装店,被扫,零售,4,3730.0,0,0.0,1
河南,三门峡市,940411254115219,渑池县好又多购物广场,被扫,零售,4,544.0,1,0.0,3
河南,三门峡市,836505153110003,三门峡市永辉百货销售,主扫,零售,4,4000.0,1,1.0,1
河南,三门峡市,QRA5053533172MP,灵宝市福满多生活超市,被扫,零售,4,83.0,1,0.0,3
河南,三门峡市,102505057220099,易达电子商务,被扫,零售,4,430.0,3,4.0,3
河南,三门峡市,QRC000000452438,程华庆(*华庆),主扫,零售,4,0.0,0,0.0,4
河南,三门峡市,833505453110003,河南百货纺织品公司东关百货楼,主扫,零售,4,4000.0,3,0.0,3
河南,三门峡市,898411259120052,三门峡华为医药零售连锁有限公司,被扫,其他,4,2210.0,4,6.0,4
河南,三门峡市,QRA505358125SC8,宝鑫员工餐厅③,主扫,餐饮,3,8.0,2,0.0,2
河南,三门峡市,QRA505359121I0P,灵宝市方舟大药房新华店收银员③,主扫,其他,3,62.0,3,4.0,3
河南,三门峡市,QRC000002331107,幸福一家人(*丽莉),主扫,零售,3,531.0,2,1.0,3
河南,三门峡市,850411256419897,三门峡森贝海外购,主扫,零售,3,4614.0,0,0.0,3
河南,三门峡市,QRA505553115571,义马市朝阳万家乐购百货超市,主扫,零售,3,134.0,1,0.0,3
河南,三门峡市,836505056510010,三门峡市湖滨区衣世一界服装超市,被扫,零售,3,373.0,1,0.0,3
