branch,city,mchnt_cd,mchnt_nm,type1,scene,cnt,trans,discnt,utrans,user
四川,乐山市,898511141110128,乐山公共交通有限公司,被扫,公交地铁,4268,4925.0,391,174.0,2623
四川,乐山市,898511141110129,乐山市旅游汽车有限公司,被扫,公交地铁,1110,1195.0,90,46.0,855
四川,乐山市,898511154110137,四川乐山中百商场连锁有限公司,被扫,零售,962,4514.0,955,1009.0,867
四川,乐山市,898511141110102,四川省阳光运业有限公司井研公交客运分公司,被扫,公交地铁,288,288.0,260,81.0,175
四川,乐山市,898511141110140,夹江县青衣公共交通有限公司,被扫,公交地铁,166,166.0,62,19.0,97
四川,乐山市,898511141110108,犍为县环城公共交通有限公司,被扫,公交地铁,96,96.0,63,19.0,60
四川,乐山市,898511141110114,犍为县环城公共交通有限公司自助终端,被扫,公交地铁,55,55.0,29,10.0,38
四川,乐山市,898511158120923,夹江天福观光茶园有限公司,被扫,餐饮,52,260.0,20,6.0,46
四川,乐山市,QRC000003336692,新颖花店(*进伟),主扫,零售,48,24.0,47,13.0,48
四川,乐山市,QRC000003346291,小刚杂货(*怀刚),主扫,零售,44,4.0,44,4.0,44
四川,乐山市,QRC000003339680,美欣理发店(*丹),主扫,零售,42,13.0,42,12.0,42
四川,乐山市,104511154992027,乐山喜得乐副食超市,主扫,餐饮,36,0.0,0,0.0,36
四川,乐山市,898440354116775,成都市人人乐商业有限公司乐山嘉定购物广场,被扫,零售,30,1044.0,23,20.0,28
四川,乐山市,QRC000002404575,小鱼火锅(*耿姗),主扫,零售,27,13.0,27,13.0,27
四川,乐山市,898511141110111,犍为县环城公共交通有限公司自助终端,被扫,公交地铁,26,26.0,14,4.0,21
四川,乐山市,QRC000003346345,小兰花店(*王强),主扫,零售,24,2.0,24,2.0,24
四川,乐山市,30966515399D2RQ,美吉超市竹公溪店,被扫,零售,21,248.0,20,14.0,20
四川,乐山市,886584042150007,顺丰速运有限公司,主扫,其他,19,2370.0,15,17.0,13
四川,乐山市,898511154110237,四川乐山三八商场连锁有限公司,被扫,零售,18,98.0,7,3.0,17
四川,乐山市,104511154111058,乐山王府井购物中心（超市*,被扫,零售,15,2735.0,15,14.0,15
四川,乐山市,QRC000002250060,小鱼水果(*渝),主扫,零售,13,6.0,13,6.0,13
四川,乐山市,988511153310079,小超副食店,主扫,零售,13,0.0,0,0.0,13
四川,乐山市,898511153310095,乐山市五通桥区红星商场,被扫,零售,10,96.0,10,7.0,9
四川,乐山市,836665170110012,乐山市中心城区逸城酒店,被扫,其他,9,8920.0,0,0.0,2
四川,乐山市,000000003239057,李姐饭店,主扫,零售,9,166.0,9,9.0,9
四川,乐山市,QRC000003493902,吊儿郎当(*美林),主扫,零售,8,0.0,0,0.0,8
四川,乐山市,102665054110037,乐山市中心城区德麦盛食品超市,被扫,零售,8,346.0,2,13.0,7
四川,乐山市,000000002458172,诚哥水果铺,主扫,零售,8,0.0,0,0.0,8
四川,乐山市,898511154110235,乐山三八超市,被扫,零售,8,41.0,2,0.0,8
四川,乐山市,QRC000001362463,早餐小吃(*阳种逊),主扫,零售,6,2.0,6,1.0,6
四川,乐山市,QRC000002711703,张利强副食店(*艳丽),主扫,零售,6,0.0,0,0.0,6
四川,乐山市,30966515331EKPP,美吉超市箱箱街店,被扫,零售,6,226.0,4,0.0,6
四川,乐山市,898511159770255,乐山市市中区蓝涛化妆品店,被扫,零售,6,52.0,3,5.0,5
四川,乐山市,102665053110065,北京百好吉社区百货有限公司乐山店,被扫,零售,5,1703.0,1,0.0,5
四川,乐山市,104511154112007,乐山家家乐超市长风分公司,被扫,零售,5,368.0,2,56.0,5
四川,乐山市,30966515399D2SK,美洁超市  通江店,被扫,零售,5,86.0,5,3.0,5
四川,乐山市,000000004184748,扫码购,主扫,零售,5,0.0,0,0.0,5
四川,乐山市,8016650531146A8,龙阳大洋百货中心,主扫,零售,5,4991.0,0,0.0,1
四川,乐山市,8016650581216B6,遇见娜家海鲜烧烤,主扫,餐饮,5,4920.0,0,0.0,1
四川,乐山市,301511153990007,员工食堂,主扫,零售,5,34.0,5,3.0,5
四川,乐山市,QRC000000634498,胡春梅的小店(*春梅),主扫,零售,4,0.0,0,0.0,4
四川,乐山市,000000004353450,龚先生生活铺子,主扫,零售,4,107.0,1,106.0,4
四川,乐山市,QRC000003117789,景上品,主扫,零售,4,500.0,0,0.0,1
四川,乐山市,000000004184519,宋三哥零食摊,主扫,零售,4,6.0,4,3.0,4
四川,乐山市,988511159980124,犍为个体户龚平,主扫,其他,4,0.0,0,0.0,4
四川,乐山市,QRA6651581312KX,四川乐山王府井店,被扫,餐饮,4,115.0,4,32.0,4
四川,乐山市,000000005145539,黄旗大道,主扫,零售,3,0.0,0,0.0,2
四川,乐山市,QRA6651581312KY,乐山府街店,被扫,餐饮,3,80.0,3,24.0,3
四川,乐山市,898511153310429,乐山市市中区鲜诚食品经营部,被扫,零售,3,43.0,3,2.0,3
四川,乐山市,QRC000003503984,何记牛肉面(*俊宏),主扫,零售,3,1100.0,0,0.0,3
四川,乐山市,30966515331E5A1,美吉超市青果山店,被扫,零售,3,41.0,1,0.0,3
四川,乐山市,000000004399866,犍为文富扬木料加工厂,主扫,零售,3,24.0,1,24.0,3
四川,乐山市,000000004183943,喻森眼镜1店,主扫,零售,3,1.0,0,0.0,3
四川,乐山市,898511158120991,峨眉山市火冒三丈烧烤店,主扫,餐饮,3,1100.0,1,0.0,2
四川,乐山市,898511170111006,乐山市中心城区欧罗巴酒店,主扫,其他,3,190.0,1,12.0,3
四川,乐山市,000000000958434,小磨香油坊杠子馒头,主扫,零售,3,14.0,3,7.0,3
四川,乐山市,898511159770294,乐山蓝天时尚商贸连锁有限公司,被扫,零售,3,145.0,0,0.0,2
四川,乐山市,30966645331DPTT,郑兴超市东盛店,被扫,零售,3,19.0,3,2.0,3
四川,乐山市,QRC000000009574,祯轩,主扫,零售,3,573.0,3,0.0,3
四川,乐山市,000000002458516,姐妹香汤圆,主扫,零售,3,20.0,1,0.0,1
四川,乐山市,988511153310472,千禧超市,被扫,零售,3,3.0,3,0.0,3
四川,乐山市,8216650445800VD,个体户罗嘉1188,主扫,其他,3,43.0,0,0.0,2
四川,乐山市,103511165130001,乐山花城物业服务有限公司,被扫,其他,3,6924.0,0,0.0,2
四川,乐山市,000000003323198,千禧超市,主扫,零售,3,1485.0,3,2.0,3
四川,乐山市,85751115411L029,邻里优选超市乐山店,被扫,零售,3,139.0,1,5.0,2
四川,乐山市,30966555399CUYR,惠雅超市甘江一店,被扫,零售,3,15.0,2,9.0,2
四川,乐山市,000000000958441,红红特色牛肉面,主扫,零售,3,21.0,3,6.0,2
四川,乐山市,000000003322986,乐佳佳超市,主扫,零售,3,281.0,3,3.0,3
四川,乐山市,833665053110002,乐山市金口河区乐艺百货商店,主扫,零售,3,3000.0,0,0.0,1
四川,乐山市,000000002458019,眼镜面馆,主扫,零售,2,20.0,2,1.0,2
四川,乐山市,100665172990070,YML悦美丽化妆连锁,主扫,其他,2,1000.0,2,0.0,2
四川,乐山市,000000001948671,晓玲猪肉铺,主扫,零售,2,83.0,2,2.0,1
四川,乐山市,QRC000000367034,太平隹兴早点,主扫,零售,2,2.0,2,0.0,2
四川,乐山市,30966515399D2U7,美洁超市  兴隆店,被扫,零售,2,22.0,2,1.0,2
四川,乐山市,QRC510100198379,峨眉山市俏皮猴超市,主扫,餐饮,2,110.0,0,0.0,1
四川,乐山市,000000004353283,西门副食,主扫,零售,2,50.0,1,5.0,2
四川,乐山市,QRC000000700416,乐山三好药店(*兴堂),主扫,零售,2,0.0,2,0.0,2
四川,乐山市,8016650723009A6,竹林步行街意念美发店,主扫,零售,2,1890.0,0,0.0,1
四川,乐山市,000000001425661,英捷莲花服装店,主扫,零售,2,233.0,2,2.0,2
四川,乐山市,8495111581200G3,乐山市沙湾区杨老湿美食店,被扫,餐饮,2,1889.0,0,0.0,1
四川,乐山市,000000002617282,廖姐水果摊,主扫,零售,2,28.0,2,2.0,2
四川,乐山市,898511175230002,成都倍豪物业发展有限公司,被扫,其他,2,4.0,2,0.0,2
四川,乐山市,102665080620041,乐山市中医医院,主扫,其他,2,338.0,0,0.0,1
四川,乐山市,823665058130014,乐山市市中区海港酒吧,主扫,餐饮,2,1994.0,0,0.0,2
四川,乐山市,000000004183968,锐锐副食店,主扫,零售,2,50.0,2,1.0,2
四川,乐山市,822665090017016,乐山市市中区程式教育,主扫,餐饮,2,4.0,2,2.0,1
四川,乐山市,QRC000000778131,珙县农商新桥分理处(*方彩),主扫,零售,2,1.0,2,0.0,2
四川,乐山市,000000002458794,小丁杂货铺,主扫,零售,2,0.0,0,0.0,2
四川,乐山市,000000001948378,周成树蔬菜摊,主扫,零售,2,17.0,2,2.0,2
四川,乐山市,000000000958350,包大姐豆腐脑,主扫,零售,2,64.0,2,2.0,2
四川,乐山市,831665153310032,乐山市中心城区明凯食品商行,被扫,零售,2,24.0,0,0.0,1
四川,乐山市,8016650571231A8,百木之家家具经营部,主扫,零售,2,1995.0,0,0.0,1
四川,乐山市,988511154410058,纯正超市,主扫,其他,2,276.0,1,0.0,2
四川,乐山市,102665054410006,婺嫣街水果店,主扫,其他,2,27.0,2,2.0,2
四川,乐山市,000000005146313,新发街杠子馒头,主扫,零售,2,2.0,0,0.0,1
四川,乐山市,898511159420032,新华文轩乐山购书中心,被扫,连锁,2,181.0,1,1.0,2
四川,乐山市,000000002458754,小利杂货铺,主扫,零售,2,0.0,0,0.0,2
四川,乐山市,83366505311VABK,沐川县张吴百货店,主扫,零售,2,2000.0,0,0.0,1
四川,乐山市,30966645331CUYP,郑兴超市阅湖店,被扫,零售,2,57.0,1,1.0,1
四川,乐山市,898511159770268,乐山市卓韵化妆品商行,被扫,零售,2,1177.0,2,30.0,2
四川,凉山彝族自治州,898513441110009,西昌月城公共交通有限公司,被扫,公交地铁,5134,8635.0,108,79.0,3169
四川,凉山彝族自治州,QRA68455137000W,会理尊牛皮皮具店,主扫,其他,405,16206.0,400,5933.0,403
四川,凉山彝族自治州,898513454110151,达达购物广场月城店,被扫,零售,243,9373.0,235,273.0,233
四川,凉山彝族自治州,898513454110165,达达百货店,被扫,零售,228,5109.0,219,245.0,215
四川,凉山彝族自治州,QRA68455137000T,会理青春派鞋店,主扫,其他,195,8100.0,193,2869.0,193
四川,凉山彝族自治州,898516154110004,凉山州达达商贸有限责任公司（达达超市）,被扫,零售,183,10946.0,177,200.0,177
四川,凉山彝族自治州,898513454110156,达达城南店,被扫,零售,161,6670.0,159,181.0,154
四川,凉山彝族自治州,822298590018421,攀枝花市东区爱我家超市,被扫,其他,145,2689.0,139,122.0,137
四川,凉山彝族自治州,QRA68455137000Y,会理宝帝巴拉童装店,主扫,其他,87,3545.0,85,1271.0,85
四川,凉山彝族自治州,898513454110160,西昌市顺好商行(达达马道店),被扫,零售,85,1567.0,84,94.0,80
四川,凉山彝族自治州,898513454110139,达达宁远店,被扫,零售,67,1281.0,64,72.0,65
四川,凉山彝族自治州,822684790010575,攀枝花市东区华联超市兴隆村店,被扫,其他,59,1450.0,58,47.0,57
四川,凉山彝族自治州,822684690018533,攀枝花市东区物美超市,被扫,餐饮,47,716.0,45,37.0,43
四川,凉山彝族自治州,QRA684551370013,会理我是大美人服装店,主扫,其他,21,1759.0,20,336.0,21
四川,凉山彝族自治州,886584042150007,顺丰速运有限公司,主扫,其他,18,932.0,12,12.0,14
四川,凉山彝族自治州,898513454110039,凉山州中集华信置业有限公司,被扫,零售,13,803.0,6,36.0,13
四川,凉山彝族自治州,QRA684556990001,会理嘉晨儿童用品专卖店,主扫,零售,11,320.0,10,91.0,9
四川,凉山彝族自治州,QRC510100137188,鲹鱼河镇李海燕,主扫,餐饮,10,7.0,0,0.0,9
四川,凉山彝族自治州,QRA68455137000B,会理县时尚魅影服装店,主扫,其他,9,430.0,9,115.0,7
四川,凉山彝族自治州,898513441110061,西昌汽车运输公司宁南公交分公司自助终端,被扫,公交地铁,9,9.0,1,0.0,3
四川,凉山彝族自治州,103513458120489,昭觉县稻香村餐馆,被扫,餐饮,8,360.0,8,41.0,8
四川,凉山彝族自治州,822684690013824,凉山州达达商贸有限责任公司,被扫,零售,7,3757.0,3,0.0,7
四川,凉山彝族自治州,822684690019465,攀枝花市东区京东便利店,被扫,零售,7,143.0,5,4.0,5
四川,凉山彝族自治州,822684690018995,攀枝花市东区益家乐超市,被扫,零售,7,99.0,7,6.0,7
四川,凉山彝族自治州,000000003646752,Polosport,主扫,零售,7,0.0,0,0.0,6
四川,凉山彝族自治州,898513441110067,会东公共交通有限责任公司,被扫,公交地铁,6,12.0,0,0.0,2
四川,凉山彝族自治州,990513405000413,宁南天星音像店,主扫,零售,6,201.0,4,20.0,5
四川,凉山彝族自治州,898513454110279,西昌市邮达超市,被扫,零售,6,179.0,6,6.0,5
四川,凉山彝族自治州,898513453110084,达达春天百货,被扫,零售,5,5098.0,2,819.0,4
