scene,cnt_today,cnt_yesterday,ratio
公交地铁,4484840,3923920,0.142948887846847
零售,1687774,1829394,-0.07741361346981568
餐饮,453876,463970,-0.021755716964458882
其他,396547,406368,-0.024167749429088947
校园,95920,104616,-0.08312304045270325
食堂,72039,69727,0.033157887188606905
自助,64263,58783,0.0932242314955003
菜场,58055,62566,-0.07209986254515233
加油,19904,30619,-0.3499461118913093
连锁,15915,35470,-0.5513109670143783
医院,1953,2030,-0.037931034482758585
停车,489,607,-0.19439868204283361
景区,62,74,-0.16216216216216217
公共,1,null,null
