mchnt_nm,type1,scene,cnt_today,cnt_yesterday,cnt_ratio,discnt_today,discnt_yesterday,discnt_ratio
天津市公交,乘车码,公交地铁,206632,194073,0.06471276272330506,190104,179200,0.0608482142857143
上海公交,乘车码,公交地铁,151426,147232,0.028485655292327827,129111,125977,0.02487755701437555
成都地铁,乘车码,公交地铁,129981,129684,0.0022901822892569257,85242,84719,0.0061733495437859
滨海公交,乘车码,公交地铁,125668,127595,-0.01510247266742426,95951,95074,0.00922439363022498
福州公交,乘车码,公交地铁,117357,118103,-0.006316520325478581,109410,104011,0.051907971272269204
杭州地铁,乘车码,公交地铁,106794,108815,-0.01857280705785047,100026,102370,-0.022897333203086845
济南市公共交通总公司,被扫,公交地铁,92611,94031,-0.01510140272888727,63882,64788,-0.013984071124282238
南京公交,乘车码,公交地铁,91514,91659,-0.00158195049040466,87539,87618,-9.016412152753617E-4
青岛公交集团有限责任公司,被扫,公交地铁,91234,55716,0.6374829492425873,87106,52159,0.6700090109089514
城卡公交,乘车码,公交地铁,86822,83596,0.038590363175271536,41280,0,Infinity
