pro,交易笔数,交易笔数环比,优惠交易笔数,优惠笔数环比
上海,85538,0.07889206019719763,49182,0.12364633310486628
北京,52548,-0.00132239119443045,25677,-0.04122325529293158
黑龙江,29094,0.25024170157911696,890,0.09202453987730053
天津,18771,-0.09130629065091111,5009,-0.07154772937905463
广东,18335,-0.06765338522994979,701,-0.12702366127023657
浙江,16524,0.05085384229030643,5416,0.029657794676806182
厦门,13714,-0.0428948832035595,2674,-0.27257889009793257
四川,12317,0.11878754778809397,727,-0.03835978835978837
江苏,9007,-0.19350060179612993,1846,-0.1725683549977588
大连,6653,0.0421760391198045,3285,0.02913533834586457
辽宁,5610,0.07908509401046704,839,0.18002812939521795
青岛,4315,-0.25867995874871086,3084,-0.21506744718757953
河北,4296,0.2375690607734806,3208,0.26398739164696616
云南,3879,0.32816804407713507,104,-0.1875
湖北,3433,0.16508474576271182,428,0.0490196078431373
其他,3299,0.06783842121492456,465,0.04494382022471921
宁夏,3291,-0.16537013801756584,3014,-0.1765027322404371
深圳,3220,-0.23708920187793425,1730,-0.33817903596021426
河南,2828,0.016821760916249096,2041,0.006906758756783482
湖南,2754,0.1452581032412965,719,-0.06501950585175553
贵州,2321,8.0390625,1993,44.29545454545455
陕西,2202,0.1675764192139737,212,0.12765957446808507
山东,1287,2.016548463356974,184,1.5205479452054793
重庆,1160,0.13320274240940244,235,0.13526570048309172
新疆,1083,0.2549707602339182,101,-0.14406779661016944
安徽,909,-0.3434628975265017,537,-0.4693675889328063
福建,857,0.12830687830687837,134,-0.014705882352941124
江西,409,0.28930817610062887,71,0.7317073170731707
宁波,322,-0.14986376021798364,82,0.012345679012345734
海南,234,0.34302325581395343,123,0.5974025974025974
甘肃,214,0.09137055837563457,38,-0.11627906976744184
广西,186,-0.35231316725978645,49,-0.27941176470588236
山西,95,-0.13761467889908252,15,-0.11764705882352944
内蒙古,44,0.04761904761904767,5,0.0
吉林,5,0.6666666666666667,0,-1.0
西藏,1,Infinity,0,NaN
