index,cnt_today,cnt_yesterday,ratio
无感支付,null,200310,null
被扫,3676602,3666517,0.00275056681859105
乘车码,2612828,2561262,0.020133043788569855
远程转账,1822955,1597516,0.1411184614113411
信用卡还款,1202689,1017978,0.18144891146959954
一般主扫,796307,783646,0.016156529861697758
快速收款码,436260,482598,-0.09601780363781034
小微主扫,338949,414673,-0.18261135882972848
外部控件,310755,301889,0.029368410243500096
人到人转账,175835,191312,-0.08089926402943882
公缴,80563,77139,0.04438740455541296
充值,27447,24672,0.11247568093385214
微信收款码,16689,14330,0.16461967899511515
数娱服务,2908,3490,-0.1667621776504298
商城,290,218,0.3302752293577982
